net,length_um
net832,1.641475mm
net833,1.402365mm
net831,1.39042mm
net834,1.189225mm
_09646_,1.0973mm
net835,1.039415mm
_09308_,985.53µm
_09679_,962.67µm
_09264_,917.39µm
_09613_,887µm
_09319_,879.74µm
_09384_,871.59µm
_09340_,867.42µm
_09668_,853.95µm
_09439_,834.84µm
_09428_,831.52µm
_09220_,829.07µm
_09417_,812.74µm
_09286_,811.515µm
clknet_0_clk,792.47µm
_09362_,781.67µm
_09155_,768.09µm
net65,759.47µm
_09242_,750.38µm
net486,747.77µm
_09297_,742.33µm
_09199_,732.05µm
_02338_,731.84µm
_09449_,731.78µm
_09602_,718.7µm
_09275_,695.5µm
_09177_,668.945µm
_09460_,668.24µm
_09210_,658.59µm
_09471_,655.46µm
_09351_,650.64µm
_09231_,640.02µm
_09406_,629.45µm
_09188_,628.27µm
_09482_,621.38µm
_09373_,617.37µm
_09504_,617.34µm
_09690_,609.3µm
_09657_,607.64µm
_09635_,596.23µm
_09624_,586.42µm
_05043_,580.81µm
_09166_,579.23µm
_04182_,578.39µm
net487,576.46µm
_06441_,570.85µm
_09581_,570.4µm
_09144_,553.31µm
_09515_,549.84µm
clknet_3_0_0_clk,548.61µm
_09592_,538.515µm
_01871_,538.27µm
_09395_,536.92µm
_01860_,526.55µm
_01857_,507.96µm
_09493_,505.21µm
clknet_3_5_0_clk,504.98µm
net478,494.2µm
clknet_3_4_0_clk,492.5µm
net479,476.21µm
clknet_3_3_0_clk,473.225µm
net962,472.54µm
_09526_,460.895µm
_01855_,456.65µm
_06402_,453.98µm
_01888_,438.79µm
clknet_3_7_0_clk,423.82µm
net801,419.74µm
_09329_,414.31µm
a_h\[0\],411.11µm
clknet_3_6_0_clk,410.235µm
_04260_,409.03µm
a_l\[7\],399.535µm
net763,399.425µm
clknet_3_2_0_clk,390.77µm
_09253_,390.03µm
net499,386.69µm
net976,379.87µm
net475,379.07µm
net512,375.695µm
net785,371.65µm
_01460_,368.05µm
net502,367.15µm
_04555_,363.24µm
net546,360.135µm
net506,359.28µm
_02278_,358.69µm
_00418_,358.06µm
_06985_,355.6µm
net817,351.64µm
net711,347.28µm
net784,346.725µm
_02502_,345.72µm
net480,345.45µm
_05044_,344.05µm
net739,343.935µm
net28,343.12µm
net29,335.9µm
net787,335.415µm
_06605_,334.87µm
net578,334.23µm
net744,332.815µm
clknet_3_1_0_clk,330.64µm
net717,329.23µm
net511,324.46µm
_00419_,323.34µm
net31,322.08µm
net525,321.52µm
net759,321.18µm
net800,318.345µm
b_l\[15\],317.215µm
net23,317.04µm
_06761_,315.59µm
net173,314.7µm
net961,313.45µm
_06521_,312.495µm
net545,309.95µm
net790,309.755µm
net508,309.09µm
net804,307.91µm
net741,307.9µm
net518,306.17µm
net824,305.13µm
net706,304.885µm
net780,304.28µm
net755,303.97µm
net516,303.36µm
net476,303µm
net733,302.78µm
net793,302.63µm
net648,302.23µm
net705,302.04µm
_07234_,301.61µm
net27,298.56µm
clk,298.45µm
net731,298.25µm
net544,297.295µm
net654,297.03µm
net747,296.955µm
_01856_,296.08µm
net26,295.28µm
net751,295.06µm
net745,294.7µm
net658,290.435µm
net737,289.86µm
net758,289.58µm
net651,288.87µm
net501,287.87µm
b_l\[3\],287.54µm
net498,285.98µm
net796,284.44µm
net510,284.23µm
net721,283.92µm
net743,282.72µm
net504,280.57µm
net528,280.47µm
net761,278.1µm
net541,277.625µm
net746,276.29µm
p_hl\[21\],274.96µm
net732,274.66µm
a_h\[2\],273.85µm
p_hl\[19\],271.4µm
net574,271.21µm
net592,271.1µm
b_h\[13\],270.71µm
net762,270.22µm
net734,270.12µm
net539,269.775µm
p_hl\[28\],268.78µm
net597,268.54µm
net935,268.145µm
net552,267.14µm
net521,266.76µm
net613,266.73µm
net742,266.7µm
_02082_,266.61µm
_06867_,265.32µm
net657,265.245µm
b_h\[12\],265.16µm
net883,264.86µm
p_hl\[22\],263.87µm
p_hl\[23\],263.86µm
net514,262.585µm
net810,262.34µm
net532,261.57µm
net542,260.665µm
net615,260.33µm
_00352_,259.165µm
net581,258.95µm
net722,258.92µm
net771,258.88µm
net513,258.81µm
net49,258.72µm
net980,257.96µm
net989,257.71µm
net930,257.48µm
_00351_,257.355µm
net500,257.02µm
net692,256.98µm
net589,256.44µm
a_l\[0\],255.905µm
net605,255.66µm
net752,254.585µm
net531,252.98µm
net507,252.91µm
net750,252.47µm
net698,251.69µm
net530,251.63µm
p_hl\[29\],251.6µm
net120,251.4µm
net576,251.39µm
net610,251.19µm
net815,250.92µm
net707,250.7µm
net636,250.69µm
net48,250.3µm
net585,249.925µm
net53,249.64µm
net602,248.82µm
p_hl\[24\],247.71µm
net515,247.41µm
net509,245.175µm
net32,245.04µm
net639,244.57µm
net775,244.43µm
a_h\[3\],244.16µm
net757,243.755µm
net637,243.75µm
_00065_,242.705µm
net505,242.56µm
net56,242.36µm
net604,241.89µm
net756,241.34µm
b_h\[5\],240.54µm
net534,239.92µm
a_h\[15\],239.31µm
net45,238.8µm
net595,238.6µm
net702,238.59µm
net765,238.5µm
net913,238.495µm
a_l\[10\],238.43µm
_06480_,238.26µm
net52,238.12µm
net665,237.625µm
net782,237.05µm
net570,236.785µm
net609,235.64µm
net559,235.24µm
net748,234.96µm
net594,234.83µm
net526,234.515µm
net809,232.69µm
p_hl\[30\],232.32µm
p_hl\[17\],232.28µm
net719,231.76µm
net727,230.4µm
net797,230.11µm
net1041,230.03µm
net811,229.35µm
net776,227.39µm
p_hl\[25\],226.66µm
_06681_,226.49µm
net779,226.42µm
_00435_,226.07µm
net791,225.955µm
_00064_,225.605µm
net652,225.595µm
net582,225.49µm
net699,225.01µm
net632,224.05µm
b_h\[8\],224.03µm
net724,223.96µm
net536,223.8µm
net659,223.28µm
net524,221.55µm
_04134_,221.27µm
net629,220.965µm
net679,220.52µm
net119,220.48µm
net537,220.13µm
net766,219.8µm
_02362_,219.475µm
net634,218.72µm
net1115,218.62µm
net580,218.56µm
a_l\[9\],218.355µm
p_hl\[26\],218.14µm
net118,218.02µm
p_hl\[27\],217.96µm
net738,217.8µm
net623,217.29µm
net600,217.24µm
net662,216.1µm
net740,215.735µm
net1150,215.7µm
net690,215.6µm
net655,215.475µm
net653,214.62µm
p_hl\[9\],214.55µm
net535,214.2µm
net807,214.115µm
net760,214.1µm
net638,213.65µm
net527,213.11µm
net735,212.735µm
net626,212.4µm
net644,211.91µm
net572,211.25µm
net681,211.12µm
net642,210.79µm
net519,210.27µm
net799,210.15µm
net607,209.94µm
net47,209.9µm
net806,209.505µm
net649,208.59µm
net558,208.58µm
net560,208.46µm
net612,207.09µm
_00436_,207.08µm
net813,207.01µm
net523,206.03µm
_00434_,205.87µm
_00055_,205.62µm
net603,205.305µm
net666,205.04µm
net713,205µm
net695,204.89µm
net675,204.78µm
b_h\[15\],204.62µm
net51,204.54µm
net583,204.53µm
net701,204.355µm
net555,204.225µm
net798,203.96µm
net718,202.84µm
net630,202.55µm
net792,202.44µm
net712,202.09µm
net764,202.04µm
net708,201.8µm
net94,201.36µm
a_l\[6\],200.98µm
net725,200.53µm
net783,200.46µm
net999,199.41µm
net628,198.94µm
net805,198.92µm
net686,198.48µm
net590,198.14µm
net1004,197.78µm
p_hl\[18\],197.42µm
net892,196.525µm
p_hl\[7\],196.51µm
net566,196.18µm
net614,195.24µm
net772,195.115µm
net616,195.09µm
net730,194.94µm
a_l\[14\],194.76µm
net812,193.88µm
net768,193.84µm
net591,193.72µm
net89,193.64µm
net617,193.26µm
net822,192.08µm
net689,191.94µm
net117,191.84µm
net795,191.4µm
net672,191.2µm
net693,190.69µm
net710,190.53µm
net550,190.33µm
p_hl\[8\],190.3µm
net703,189.84µm
_02613_,189.7µm
net918,189.65µm
net678,189.535µm
_00437_,189.36µm
net676,189.28µm
net522,189.08µm
_00429_,188.84µm
net620,188.34µm
