net,length_um
net794,1.28742mm
net793,1.08911mm
_09646_,1.062845mm
net796,1.04486mm
net797,1.03672mm
net795,919.715µm
_09308_,889.95µm
_09384_,882.33µm
_09417_,867.16µm
_09690_,866.33µm
_09668_,861.59µm
clknet_0_clk,857.35µm
_09679_,849.29µm
_09428_,827.83µm
_09613_,804.52µm
_09220_,802.39µm
net65,774.725µm
_09264_,766.035µm
_09199_,761.63µm
_09155_,756.25µm
_09449_,731.9µm
_09439_,721.74µm
_09362_,714.6µm
_09602_,712.53µm
_02589_,706.74µm
_09406_,690.03µm
_09286_,690µm
_09242_,689.185µm
_09297_,685.43µm
_09275_,677.415µm
_02338_,669.4µm
_09231_,666.4µm
_09460_,665.97µm
_05043_,662.65µm
_09253_,657.83µm
_09210_,654.95µm
_09319_,650.65µm
_09340_,649.21µm
_09395_,647.66µm
_09177_,639.32µm
_09657_,607.64µm
_09166_,605.95µm
_09188_,595.07µm
_09482_,594.72µm
_09624_,577.72µm
_06441_,571.37µm
_09471_,561.32µm
net805,552.78µm
_09493_,530.81µm
_04182_,523.32µm
_09581_,521.625µm
_09373_,516.63µm
_09635_,511.92µm
_09144_,507.16µm
_09351_,492.64µm
_01871_,490.02µm
_01888_,463.36µm
_06402_,461.85µm
_01860_,457.68µm
net459,448.685µm
_09504_,448.66µm
_09592_,442.77µm
_01460_,431.75µm
net489,417.38µm
net455,417.04µm
net484,410.245µm
net457,405.05µm
net706,399.61µm
net730,394.91µm
_02588_,393.5µm
_04260_,391.8µm
_09515_,389.49µm
clknet_3_4__leaf_clk,374.83µm
net481,370.42µm
_06761_,370.36µm
net458,368.52µm
_06521_,366.41µm
_09526_,365.75µm
net480,364.95µm
net763,363.04µm
a_l\[0\],362.81µm
clknet_3_2__leaf_clk,362.34µm
net474,361.51µm
net555,360.31µm
_06605_,356.29µm
net1562,352.15µm
net477,349.66µm
net701,346.475µm
net472,345.91µm
net707,344.71µm
net475,344.155µm
net1032,343.66µm
clknet_3_7__leaf_clk,340.93µm
net729,339.145µm
_06985_,338.77µm
net922,338.13µm
net628,336.935µm
net463,331.765µm
net496,329.615µm
_04555_,329.3µm
net717,329.06µm
net483,327.92µm
clknet_3_3__leaf_clk,327.05µm
net596,325.83µm
net687,324.13µm
net580,320.63µm
_05044_,320.6µm
net696,318.28µm
net485,316.99µm
net674,315.77µm
net487,312.56µm
clknet_3_1__leaf_clk,311.89µm
net759,311.805µm
clknet_3_5__leaf_clk,309.59µm
net1062,308.66µm
net516,308.06µm
net499,308.025µm
net716,307.495µm
net479,307.49µm
_00349_,302.515µm
net679,302.17µm
net689,301.71µm
net726,300.69µm
_02502_,299.68µm
net754,299.22µm
net749,298.86µm
net167,298.55µm
net511,297.005µm
net589,293.895µm
_02278_,293.59µm
_02613_,292.74µm
net491,292.67µm
_00350_,292.065µm
net670,292.06µm
net488,291.54µm
_04133_,290.84µm
net725,288.48µm
net740,288.4µm
net549,287.775µm
net764,287.12µm
_00352_,285.665µm
net623,285.18µm
_04134_,284.72µm
_00351_,283.565µm
net524,282.32µm
net690,281.365µm
clknet_3_0__leaf_clk,281.28µm
net517,280.015µm
net703,279.545µm
net515,278.17µm
net568,278.02µm
net630,277.32µm
net999,277.23µm
net713,276.48µm
net610,276.23µm
net723,275.66µm
net680,275.64µm
net757,273.01µm
_06480_,272.85µm
net777,272.025µm
_01855_,270.96µm
net627,270.06µm
_01857_,269.34µm
_00435_,269.21µm
net476,265.95µm
net714,265.77µm
net478,264.31µm
net620,264.24µm
net721,263.32µm
net712,262.86µm
net497,262.48µm
_02082_,261.03µm
net784,260.65µm
net722,259.715µm
net1023,258.64µm
net772,257.51µm
net705,257.265µm
net514,257.03µm
net518,256.995µm
_06681_,256.57µm
net751,256.26µm
net718,255.085µm
net780,254.97µm
net1125,254.89µm
net727,254.66µm
net719,253.86µm
net561,252.88µm
_09329_,251.63µm
net731,251.52µm
net693,250.645µm
net501,248.275µm
net553,247.68µm
net699,246.61µm
net541,245.74µm
net572,245.38µm
net492,245.04µm
clknet_3_6__leaf_clk,244.48µm
net748,243.97µm
net545,243.63µm
net964,243.49µm
net505,243.08µm
net708,243µm
net665,240.68µm
net732,240.63µm
net682,239.72µm
b_l\[14\],239.6µm
_07234_,239.57µm
net493,239.32µm
net548,239.11µm
net606,238.995µm
net677,238.74µm
net540,238.23µm
b_l\[15\],236.585µm
a_h\[3\],235.62µm
net681,235.41µm
_00434_,234.98µm
net736,234.06µm
_00425_,233.98µm
net509,233.325µm
_00427_,232.3µm
net692,231.47µm
net564,231.43µm
net502,231.18µm
net661,231.08µm
net512,230.675µm
b_l\[4\],230.61µm
net544,229.99µm
net634,229.845µm
net685,229.84µm
_00436_,229.39µm
net28,229.02µm
net715,228.26µm
_02362_,227.9µm
net506,227.83µm
net603,227.79µm
net574,227.46µm
net769,226.48µm
net724,226.37µm
_06867_,225.98µm
net667,225.9µm
net503,225.36µm
net683,223.255µm
net607,222.43µm
net756,221.73µm
net629,221.61µm
net770,221.35µm
net570,220.91µm
_00437_,220.84µm
net498,220.48µm
_00424_,220.02µm
_00438_,219.88µm
net668,218.83µm
net698,218.565µm
net709,217.845µm
net798,217.01µm
net775,216.95µm
net621,216.74µm
net557,216.53µm
net694,216.38µm
net669,215.48µm
net750,214.51µm
p_hl\[17\],214.24µm
net583,214.09µm
net566,213.4µm
_00426_,213.24µm
net593,212.3µm
net664,212.25µm
a_h\[0\],212.11µm
net534,211.96µm
net695,211.45µm
net710,210.7µm
net782,210.515µm
net556,210.43µm
net1128,209.935µm
p_hl\[20\],209.87µm
net766,209.64µm
b_h\[6\],209.45µm
net941,209.12µm
p_hl\[25\],209.05µm
net565,208.45µm
net581,207.93µm
net625,207.6µm
net559,206.825µm
net578,206.78µm
b_l\[2\],206.3µm
net944,206.22µm
net779,206.2µm
p_hl\[19\],205.84µm
net1004,205.01µm
net746,204.2µm
clk,203.33µm
b_h\[8\],202.83µm
net643,202.515µm
net584,202.28µm
net760,201.96µm
p_hl\[18\],201.65µm
net598,199.84µm
net599,199.56µm
a_l\[7\],198.53µm
net500,198.325µm
p_hl\[28\],197.71µm
net550,197.58µm
net523,197.355µm
net771,197.07µm
net659,197.06µm
net567,196.71µm
net774,196.695µm
p_hl\[7\],196.63µm
net1013,196.45µm
b_l\[8\],196.39µm
net132,196.265µm
net538,196.08µm
net741,196.01µm
net656,195.92µm
net650,195.32µm
net761,194.2µm
net1059,194.05µm
net597,192.17µm
_07587_,192.015µm
net640,192.01µm
net644,191.8µm
net513,191.61µm
net490,191.48µm
net635,190.44µm
net601,190.395µm
_00421_,190.32µm
net571,190.2µm
net649,190.12µm
net507,189.08µm
net676,188.59µm
net591,188.45µm
a_l\[4\],188.32µm
p_hl\[5\],187.92µm
net739,187.57µm
net673,187.565µm
net720,187.5µm
net986,187.44µm
net1090,187.32µm
_00422_,187.3µm
p_hl\[27\],187.18µm
net657,186.77µm
net641,186.44µm
net626,186.405µm
net1049,186.09µm
net702,186.04µm
_00419_,185.4µm
net1148,185.35µm
net778,184.36µm
net995,184.295µm
_00143_,184.185µm
_00420_,184.14µm
net638,184µm
net745,183.13µm
b_l\[11\],183.06µm
net473,182.99µm
net1093,182.76µm
net560,182.15µm
net733,181.93µm
net768,181.41µm
net728,181.4µm
net533,181.39µm
net645,181.195µm
net790,179.39µm
net585,179.17µm
net579,178.74µm
net983,178.54µm
_07586_,178.42µm
net655,178.41µm
net691,178.3µm
net658,178.23µm
_00298_,177.975µm
a_h\[1\],177.9µm
net787,177.68µm
net590,176.49µm
p_hl\[9\],176.16µm
_00439_,176.125µm
net735,176.11µm
net791,176.09µm
net612,175.99µm
a_h\[2\],175.95µm
b_h\[13\],175.56µm
a_h\[6\],175.4µm
p_hl\[26\],175.4µm
net526,175.295µm
net773,175.28µm
net609,175.19µm
net660,175.09µm
net752,174.86µm
net1048,174.86µm
net919,174.58µm
net615,174.57µm
net950,174.06µm
p_hl\[3\],173.9µm
net936,173.89µm
net552,172.7µm
net662,172.31µm
net508,172.12µm
_00441_,171.96µm
net592,171.94µm
net848,170.96µm
net576,170.115µm
net887,169.72µm
net781,169.51µm
net1019,169.35µm
_00301_,169.015µm
net1082,168.91µm
b_l\[9\],168.54µm
a_l\[11\],168.35µm
_00418_,168.24µm
net633,168.17µm
net588,168.14µm
net554,167.81µm
net575,167.555µm
net563,167.53µm
net767,167.26µm
p_hl\[29\],167.16µm
_01756_,167.14µm
net697,166.525µm
net530,166.26µm
net495,166.01µm
_06401_,165.54µm
net622,165.15µm
p_hl\[2\],164.88µm
net522,162.84µm
net569,162.71µm
net734,162.24µm
clknet_leaf_14_clk,162.24µm
net494,162.02µm
_07584_,161.98µm
b_h\[4\],161.825µm
b_l\[10\],161.56µm
_03605_,160.64µm
net1069,159.86µm
net647,159.86µm
net1088,158.84µm
net672,158.32µm
net529,158.195µm
net758,157.86µm
net1146,156.7µm
net525,156.695µm
net602,156.605µm
net441,156.49µm
net582,156.41µm
net521,156.19µm
net1043,155.97µm
net653,155.74µm
net966,155.62µm
_00065_,155.325µm
net678,155.14µm
net765,155.065µm
_00055_,154.705µm
b_h\[12\],153.825µm
net762,152.91µm
net704,152.85µm
net632,152.455µm
_00440_,152.31µm
net737,152.12µm
net624,151.96µm
net1102,151.71µm
net742,151.63µm
net1076,151.52µm
net888,151.42µm
_00064_,151.3µm
net1018,150.89µm
net600,150.38µm
net1001,149.84µm
_01758_,149.68µm
net631,149.32µm
p_hl\[31\],149.09µm
net594,148.56µm
_00447_,147.98µm
clknet_leaf_42_clk,147.98µm
net976,147.12µm
net1052,146.91µm
net675,146.7µm
p_hl\[10\],146.67µm
net551,146.62µm
net847,146.3µm
net1033,145.22µm
b_l\[1\],145.13µm
net923,144.88µm
_00442_,144.52µm
net636,143.01µm
_00433_,142.88µm
net510,142.84µm
net947,142.24µm
net671,142.19µm
a_l\[2\],141.74µm
b_l\[6\],141.42µm
net663,141.33µm
net547,140.14µm
_00127_,139.605µm
net519,139.18µm
net608,138.8µm
_00296_,138.785µm
_00443_,138.71µm
net993,138.46µm
net738,137.68µm
_00445_,137.58µm
_00431_,137.5µm
net1417,136.84µm
p_hl\[1\],135.86µm
net648,135.605µm
net783,135.46µm
net789,135.07µm
net605,134.705µm
b_l\[3\],133.9µm
clknet_leaf_47_clk,133.9µm
net792,133.83µm
net786,133.48µm
net527,133.45µm
net1111,133.34µm
p_hl\[6\],133.26µm
net543,133.07µm
_00125_,132.7µm
_00976_,132.625µm
net536,132.57µm
_00053_,132.405µm
net535,131.86µm
net616,130.68µm
_00430_,130.48µm
net135,130.36µm
a_h\[11\],130.16µm
net874,129.93µm
net1084,129.44µm
net651,129.41µm
_00446_,129.12µm
_00432_,128.56µm
_00124_,127.965µm
net617,127.92µm
_00449_,127.82µm
net1437,127.82µm
net906,127.63µm
net531,127.545µm
net924,127.5µm
net532,127.47µm
_00448_,127.445µm
b_h\[3\],127.34µm
_00975_,127.08µm
net1113,126.64µm
net1444,126.64µm
p_hl\[23\],126.54µm
net1106,126.48µm
p_hl\[22\],126.34µm
net1015,126.28µm
net595,126.23µm
net1064,125.71µm
p_hl\[21\],125.66µm
a_l\[10\],125.56µm
net586,125.21µm
_00429_,125.06µm
_01471_,124.46µm
net965,123.215µm
_01724_,123.2µm
net611,123.04µm
net642,122.82µm
net686,122.56µm
net967,121.88µm
_07113_,121.56µm
net558,121.48µm
net619,121.44µm
net1009,121.135µm
_00444_,121.13µm
p_hl\[30\],120.9µm
net562,120.86µm
net788,120.56µm
net504,120.33µm
b_h\[10\],119.86µm
net684,118.93µm
_06440_,118.24µm
_00428_,118.18µm
_00203_,117.805µm
_01728_,117.65µm
net654,117.6µm
net604,117.48µm
net528,117µm
net1005,116.68µm
_01350_,115.64µm
net1079,115.3µm
net1105,115.24µm
net753,114.58µm
_01837_,114.24µm
net613,114.08µm
a_l\[6\],114.04µm
clknet_leaf_43_clk,113.8µm
_07100_,113.68µm
a_l\[13\],113.22µm
net755,113.06µm
net1041,112.51µm
net903,112.475µm
_00126_,112.385µm
net75,111.84µm
_08139_,111.31µm
net120,111.22µm
p_lh\[6\],111.09µm
p_hl\[16\],111.02µm
net652,110.8µm
net1532,110.34µm
net546,110.225µm
net1086,110.13µm
a_h\[15\],110.08µm
net1123,109.89µm
clknet_leaf_16_clk,109.72µm
net539,109.595µm
_06999_,109.2µm
net969,108.58µm
_08040_,108.54µm
net520,107.94µm
_00199_,107.735µm
net486,107.47µm
net1451,106.08µm
_05262_,106.02µm
net1112,105.98µm
net876,105.66µm
clknet_leaf_41_clk,105.165µm
net1414,105.13µm
net1072,103.94µm
