net,length_um
net794,1.235815mm
net797,1.06441mm
net796,1.05654mm
_09646_,1.0345mm
net793,1.031095mm
net795,899.665µm
_09384_,881.78µm
_09308_,876.82µm
clknet_0_clk,856µm
_09690_,853.425µm
_09668_,849.41µm
_09417_,840.67µm
_09679_,839.13µm
_09428_,820.89µm
_09264_,805.11µm
_09155_,803.77µm
_09613_,798.04µm
_09220_,782.25µm
net65,769.755µm
_09199_,758.285µm
_09449_,728.69µm
_09439_,717.25µm
_09286_,708.67µm
_09362_,695.94µm
_09406_,693.18µm
_09297_,692.11µm
_09602_,679.12µm
_09242_,673.47µm
_05043_,672.705µm
_09460_,665.32µm
_09275_,662.95µm
_09231_,659.69µm
_02589_,658.77µm
_02338_,657.92µm
_09210_,655.73µm
_09395_,653µm
_09340_,650.66µm
_09253_,650.16µm
_09177_,649.69µm
_09319_,646.78µm
_09657_,611.5µm
_09482_,604.53µm
_09166_,601.23µm
_09188_,586.82µm
_06441_,583.98µm
_09624_,568.83µm
_09471_,564.97µm
net805,563.52µm
_09493_,537.49µm
_04182_,529.66µm
_09581_,521.32µm
_09373_,515.425µm
_09144_,502.09µm
_09351_,492.97µm
_09635_,489.95µm
_06402_,476.905µm
_01871_,476.06µm
_01860_,470.84µm
_01888_,456.57µm
_09504_,452.01µm
_09592_,446.11µm
net459,443.02µm
net713,433.07µm
_01460_,431.85µm
net455,422.32µm
net489,417.33µm
net484,412.325µm
net706,402.44µm
_09515_,397.33µm
net457,389.565µm
_04260_,389.35µm
net730,388.77µm
_02588_,382.94µm
net458,379.78µm
clknet_3_4__leaf_clk,372.22µm
net481,368.4µm
_06761_,367.82µm
net480,365.29µm
net474,364.74µm
_06605_,363.27µm
net555,362.46µm
_06521_,362.09µm
clknet_3_2__leaf_clk,360.15µm
_09526_,359.4µm
net475,357.91µm
a_l\[0\],355.63µm
net1032,354.93µm
net701,350.815µm
_01855_,348.33µm
net628,347.085µm
net763,347.03µm
net477,346.59µm
net472,342.57µm
clknet_3_7__leaf_clk,342.31µm
net729,341.765µm
net922,339.24µm
net463,331.54µm
_06985_,330.99µm
net596,329.94µm
net717,329.54µm
clknet_3_3__leaf_clk,327.51µm
net496,325.285µm
_05044_,324.54µm
net687,322.88µm
net674,318.55µm
net483,317.64µm
net696,317.52µm
net707,316.5µm
net487,315.41µm
net716,314.045µm
net580,312.38µm
_04555_,311.755µm
net499,311.61µm
net479,311.22µm
net485,311.22µm
_00349_,309.08µm
clknet_3_1__leaf_clk,308.78µm
net1062,306.65µm
clknet_3_5__leaf_clk,305.47µm
_02613_,300.93µm
net511,300.02µm
net517,299.73µm
net167,298.55µm
net679,297.73µm
net749,297.06µm
net726,296.745µm
net689,296.69µm
net670,295.48µm
_04134_,293.84µm
_02278_,293.77µm
_02502_,292.74µm
_00350_,292.615µm
net759,289.285µm
net488,288.925µm
net491,288.74µm
net754,288.73µm
net516,287.5µm
net524,285.32µm
net740,285.28µm
net764,284.39µm
net714,283.55µm
_04133_,281.05µm
_00351_,280.805µm
net725,280.755µm
net589,280.405µm
net712,280.33µm
_00352_,280.125µm
net515,279.545µm
net723,279.02µm
clknet_3_0__leaf_clk,278.38µm
net680,278.15µm
net690,277.925µm
net610,276.16µm
net623,275.32µm
net999,273.38µm
net627,273.205µm
net549,271.98µm
net703,270.755µm
net630,270.74µm
_00435_,270.59µm
net757,270.07µm
_02082_,269.75µm
net777,269.015µm
_06480_,268.37µm
net620,265.82µm
net705,263.675µm
net478,263.555µm
net721,263.07µm
net476,262.94µm
net518,262.21µm
net780,261.515µm
net568,260.99µm
_01857_,260.705µm
net751,259.92µm
_06681_,259.63µm
net514,258.88µm
net693,257.695µm
net572,257.17µm
net1023,256.72µm
net727,255.07µm
net699,254.79µm
net682,254.785µm
net497,254.41µm
net561,254.18µm
net719,254.13µm
p_hl\[22\],253.46µm
net708,253.38µm
net772,251.45µm
p_hl\[23\],250.32µm
net1125,250.3µm
p_hl\[21\],249.8µm
net541,249.64µm
net784,249.375µm
net553,248.7µm
net718,248.555µm
net748,248.49µm
clknet_3_6__leaf_clk,247.78µm
_09329_,247.58µm
net722,246.63µm
net606,246.5µm
net732,245.14µm
net540,244.82µm
b_l\[15\],244.68µm
net545,243.63µm
net665,242.94µm
a_h\[3\],242.87µm
net731,242.18µm
b_l\[14\],240.07µm
net603,239.83µm
net964,239.56µm
net501,238.35µm
_02362_,238.26µm
net677,237.14µm
net736,235.37µm
net548,235.08µm
_00434_,234.98µm
net681,234.96µm
_00427_,234.52µm
net685,234.44µm
net544,233.45µm
net505,233.4µm
net512,230.9µm
_00425_,230.58µm
_07234_,230.23µm
net581,230.23µm
net698,229.41µm
net509,229.25µm
net570,229.12µm
_00436_,228.71µm
net502,227.55µm
net493,227.52µm
net28,226.98µm
net724,226.935µm
net692,226.93µm
net770,225.87µm
b_l\[4\],225.67µm
net557,225.05µm
net715,225µm
a_h\[0\],224.76µm
net506,224.6µm
net503,224.54µm
_00437_,223.66µm
net1128,223.475µm
net492,223µm
_06867_,222.46µm
net661,222.25µm
net498,221.3µm
net574,220.98µm
net534,220.22µm
b_h\[6\],220.21µm
net709,219.89µm
_00438_,219.88µm
_00424_,219.72µm
net607,219.41µm
net564,218.94µm
net634,218.205µm
net629,217.14µm
net598,217.1µm
net667,216µm
net683,215.975µm
net694,214.86µm
net798,214.68µm
net756,213.26µm
_00426_,212.9µm
net760,212.87µm
net583,212.03µm
net621,211.42µm
net566,210.8µm
net941,210.7µm
net695,209.97µm
net750,209.87µm
net668,209.72µm
net567,209.27µm
p_hl\[19\],208.77µm
p_hl\[17\],208.56µm
net578,207.79µm
net779,207.74µm
net774,207.23µm
net593,206.6µm
net669,206.58µm
net766,206.485µm
net673,206.335µm
net710,206.22µm
p_hl\[20\],206.04µm
b_l\[2\],205.73µm
b_h\[8\],204.99µm
net500,204.73µm
net775,204.54µm
net565,204.08µm
net584,203.62µm
net625,203.58µm
clk,203.33µm
net944,203.24µm
p_hl\[7\],202.55µm
p_hl\[18\],201.65µm
p_hl\[16\],201.54µm
net782,201.37µm
net659,200.73µm
net769,200.44µm
net1004,200.24µm
net559,200.08µm
net643,199.655µm
a_l\[4\],199.45µm
net658,198.95µm
p_hh\[31\],198.91µm
net601,198.065µm
net656,197.99µm
net599,197.58µm
net664,197.265µm
net641,197.025µm
net746,196.82µm
net1059,196.65µm
net132,196.605µm
net523,196.095µm
net550,195.79µm
net650,195.695µm
p_hl\[8\],195.48µm
b_l\[8\],195.47µm
p_hl\[25\],195.07µm
p_hh\[28\],194.78µm
net597,194.49µm
net571,194.38µm
net1049,193.64µm
_07587_,193.315µm
net741,193.015µm
net771,192.95µm
net556,192.42µm
net761,191.91µm
net720,190.49µm
net768,190.34µm
_00421_,190.32µm
net626,189.915µm
net635,189.53µm
net986,188.82µm
net649,188.72µm
p_hl\[5\],188.56µm
net1090,187.75µm
net538,187.7µm
_00422_,187.3µm
net560,187µm
net579,187µm
p_hl\[26\],186.94µm
net1148,186.73µm
net591,186.38µm
net657,185.78µm
b_l\[11\],185.37µm
net1093,185.15µm
net513,185.095µm
net645,185.06µm
net745,184.56µm
_00420_,184.14µm
net507,183.98µm
net473,183.73µm
net1013,183.43µm
a_l\[7\],183.3µm
net644,183.255µm
net612,183.25µm
net490,183.2µm
net640,183.14µm
p_hl\[29\],182.54µm
net995,182.065µm
net702,181.6µm
net676,181.57µm
net778,181.27µm
net733,181.02µm
net739,181.01µm
net752,180.14µm
p_hl\[27\],179.99µm
net660,178.32µm
net790,178.22µm
net585,178.12µm
_00298_,177.975µm
net787,177.95µm
p_hl\[4\],177.82µm
net728,177.82µm
net533,177.81µm
net1048,177.77µm
net950,177.715µm
_00419_,177.58µm
a_h\[1\],177.44µm
p_hh\[29\],177.25µm
net887,176.37µm
_00439_,176.125µm
b_h\[13\],175.97µm
p_hh\[26\],175.49µm
a_h\[6\],175.4µm
net526,175.305µm
a_h\[2\],175.03µm
net691,174.38µm
net530,174.1µm
net919,174.05µm
net662,174.03µm
net615,173.88µm
b_l\[9\],173.54µm
net773,173.1µm
net655,172.94µm
net781,172.43µm
net609,172.35µm
net638,172.05µm
_00441_,171.96µm
net590,171.76µm
net508,171.68µm
_00301_,171.225µm
net735,171.16µm
p_hl\[9\],170.82µm
net592,170.65µm
_06401_,170.605µm
net575,170.53µm
_00143_,170.295µm
net983,170.19µm
p_hl\[31\],169.8µm
net522,169.68µm
p_hl\[3\],169.42µm
_07586_,169.22µm
mid_sum\[30\],169.22µm
_07584_,168.82µm
net848,168.46µm
clknet_leaf_14_clk,168.44µm
net569,168.395µm
_00418_,168.24µm
net563,167.35µm
net767,167.29µm
a_l\[11\],166.64µm
b_l\[10\],166.19µm
net552,166.04µm
net791,166µm
net647,165.97µm
net1069,165.955µm
p_hl\[28\],165.92µm
net1019,165.82µm
net576,165.79µm
net653,164.62µm
net622,164.61µm
net588,164.59µm
net704,164.22µm
net632,163.89µm
net1001,163.86µm
_01756_,163.15µm
net554,163.06µm
b_h\[12\],162.67µm
net936,162.56µm
p_hl\[30\],161.65µm
b_h\[4\],161.515µm
p_hl\[2\],161.44µm
mid_sum\[32\],161.3µm
net1082,161.055µm
net1146,161.04µm
net697,160.52µm
net1043,160.31µm
net521,160.21µm
_03605_,160.2µm
net582,159.55µm
net1088,159.52µm
net529,159.24µm
net1052,159.19µm
_00055_,158.765µm
net633,158.72µm
net765,157.87µm
net495,157.53µm
net966,157.32µm
_00054_,157.1µm
net525,157.015µm
net737,156.82µm
net758,156.265µm
net494,155.71µm
net762,155.18µm
p_hh\[30\],155.03µm
net678,155.02µm
net1018,154.355µm
net1102,152.95µm
net551,152.775µm
_00440_,152.31µm
net923,151.55µm
net602,151.47µm
net441,151.37µm
_00065_,151.245µm
_00064_,150.565µm
net672,149.88µm
net1076,148.97µm
_00447_,147.98µm
a_l\[2\],147.23µm
net742,147.2µm
p_hl\[10\],147.18µm
_01758_,146.89µm
net631,146.77µm
net888,146.57µm
net1033,145.97µm
net510,145.92µm
net600,145.86µm
net527,145.66µm
net594,145.6µm
net608,145.32µm
p_ll\[30\],145.12µm
net531,145.1µm
net734,144.67µm
p_hh\[25\],144.61µm
_00442_,144.52µm
net847,143.94µm
net648,143.935µm
net636,143.08µm
_00433_,142.54µm
net543,142.54µm
net624,142.32µm
net675,141.74µm
p_ll\[31\],141.24µm
net738,140.64µm
net792,140.62µm
net947,140.345µm
_00127_,140.285µm
_00296_,139.465µm
net619,139.38µm
_00443_,138.71µm
p_hl\[6\],138.52µm
_00445_,138.26µm
mid_sum\[29\],138.22µm
net519,138.14µm
p_hl\[1\],137.68µm
b_l\[1\],137.4µm
clknet_leaf_42_clk,136.66µm
net663,136.58µm
mid_sum\[28\],135.86µm
net783,135.7µm
b_l\[6\],135.32µm
net993,135.21µm
net789,134.9µm
net605,133.855µm
net617,132.98µm
net976,132.91µm
net786,132.8µm
_00053_,132.745µm
_00125_,132.7µm
net547,132.68µm
net671,132.35µm
b_l\[3\],132.34µm
_00432_,131.28µm
b_h\[3\],130.86µm
net616,130.54µm
_00430_,130.48µm
net874,129.17µm
net1005,129.16µm
_00179_,129.14µm
_00446_,129.12µm
net1084,128.93µm
_00124_,128.885µm
clknet_leaf_47_clk,128.74µm
net135,128.665µm
net535,128.53µm
net1111,128.04µm
_00976_,127.98µm
_00449_,127.82µm
_00448_,127.445µm
net651,127.31µm
_00431_,127.3µm
net611,127.25µm
net642,127.245µm
_00975_,127.08µm
net504,126.845µm
_00188_,126.48µm
a_l\[10\],126.48µm
net558,125.9µm
net586,125.84µm
net1064,125.76µm
p_ll_pipe\[9\],125.52µm
_00052_,125.245µm
p_lh\[9\],125.11µm
b_h\[10\],124.74µm
net1113,124.34µm
net1015,124.24µm
net967,124.16µm
net562,124.1µm
p_hh\[23\],124.06µm
a_h\[11\],123.44µm
_00429_,123.36µm
net1009,123.255µm
net1041,122.6µm
_07113_,121.85µm
_01471_,121.7µm
net532,121.38µm
net788,121.34µm
_00444_,121.13µm
net924,120.89µm
net536,120.71µm
_06440_,120.34µm
net686,120.05µm
_07100_,119.12µm
net963,119.06µm
net684,118.93µm
_00428_,118.52µm
_01728_,118.5µm
net906,118.45µm
net1123,117.78µm
net528,116.96µm
p_hl\[24\],116.87µm
net654,116.68µm
_01350_,116.5µm
net1106,116.04µm
_00035_,115.8µm
_01724_,115.72µm
net613,115.34µm
a_l\[13\],114.58µm
net1079,114.5µm
net903,114.28µm
net75,114.22µm
net604,114.18µm
net1105,113.9µm
net120,113.78µm
_00197_,113.465µm
_00200_,113.28µm
p_ll\[26\],113.26µm
_00201_,113.085µm
_00063_,112.845µm
p_ll\[27\],112.38µm
a_l\[15\],112.34µm
_00126_,112.045µm
_00203_,111.365µm
clknet_leaf_43_clk,111.26µm
p_lh\[6\],111.12µm
net595,110.9µm
a_l\[6\],110.56µm
net876,110.54µm
p_ll\[29\],109.84µm
_00194_,109.045µm
_05262_,108.78µm
net520,108.62µm
net546,108.285µm
net1086,107.46µm
p_lh\[7\],107.02µm
net1072,106.94µm
net969,106.78µm
_00202_,106.72µm
_00199_,106.355µm
_00204_,106.035µm
clknet_leaf_12_clk,105.24µm
net539,105.1µm
_08040_,104.88µm
_06095_,104.835µm
net1112,104.18µm
_06999_,103.55µm
net652,103.3µm
b_h\[15\],103.17µm
net1063,102.72µm
clknet_leaf_17_clk,102.7µm
_01595_,102.42µm
_08373_,102.34µm
_01351_,102.1µm
net711,101.95µm
net965,101.755µm
a_h\[8\],101µm
_08494_,100.84µm
p_lh\[8\],100.84µm
a_h\[15\],100.52µm
net542,100.38µm
b_l\[13\],100.32µm
a_h\[5\],100.08µm
net755,99.9µm
_00330_,99.745µm
net753,99.45µm
net1149,99.43µm
net1070,99.02µm
_00198_,98.405µm
net486,98.16µm
net785,97.92µm
_03950_,97.72µm
net1127,97.68µm
clknet_leaf_16_clk,97.66µm
_00195_,96.945µm
net646,96.78µm
clknet_leaf_15_clk,96.67µm
net587,96.555µm
net688,96.36µm
clknet_leaf_41_clk,96.12µm
net618,96.02µm
_00193_,95.635µm
_07727_,95.06µm
_06845_,95.05µm
net1061,94.73µm
net1120,94.5µm
_08139_,94.43µm
term_low\[28\],94.14µm
p_hh\[21\],93.97µm
net1095,93.57µm
net841,92.84µm
mid_sum\[0\],92.48µm
term_low\[26\],92.42µm
p_ll_pipe\[8\],91.96µm
mid_sum\[1\],91.9µm
_03295_,91.56µm
clknet_leaf_18_clk,91.5µm
net1014,91.5µm
_08138_,90.96µm
b_h\[2\],90.94µm
net975,90.84µm
_00051_,90.765µm
_03953_,90.26µm
clknet_leaf_35_clk,90.1µm
_01837_,89.52µm
_00395_,89.385µm
net573,89.12µm
net885,89µm
p_lh\[4\],88.86µm
_00182_,88.84µm
term_low\[7\],88.78µm
net133,88.66µm
clknet_leaf_4_clk,88.66µm
p_lh\[5\],88.52µm
_07527_,88.23µm
clknet_leaf_27_clk,87.88µm
_02917_,87.74µm
net932,87.7µm
_00376_,87.625µm
_00394_,87.52µm
_06984_,87.45µm
_00036_,87.245µm
_00326_,86.94µm
net1016,86.85µm
_08149_,86.5µm
net1099,86.05µm
clknet_leaf_7_clk,86.02µm
_08777_,85.92µm
net1109,85.75µm
_00196_,84.695µm
_00970_,84.68µm
_00312_,84.445µm
term_low\[27\],84.38µm
_05889_,84.22µm
net666,83.56µm
_07361_,82.01µm
_00191_,81.975µm
net889,81.9µm
_01218_,81.595µm
_03027_,81.4µm
net1071,81.4µm
net747,81.28µm
_07256_,81.16µm
net812,81.14µm
_05888_,80.98µm
_08362_,80.91µm
_02424_,80.88µm
_07772_,80.35µm
_03952_,79.76µm
clknet_leaf_26_clk,79.56µm
_10008_,79.46µm
p_lh\[3\],79.28µm
_05479_,79.24µm
net744,78.9µm
_00183_,78.705µm
net293,78.68µm
b_h\[7\],78.5µm
_10075_,78.43µm
net119,78.12µm
net743,78.06µm
_00294_,77.825µm
_05890_,77.76µm
b_l\[7\],77.75µm
b_l\[5\],77.68µm
_07575_,77.67µm
_03951_,77.6µm
_03298_,77.52µm
_06878_,77.08µm
_01641_,76.595µm
_00192_,76.55µm
_08776_,76.5µm
_00061_,75.865µm
_02547_,75.85µm
_06080_,75.7µm
b_l\[0\],75.6µm
_00050_,75.465µm
_00189_,75.435µm
net700,75.4µm
net1087,75.36µm
net637,75.34µm
_06787_,75.3µm
_08363_,75.24µm
_07576_,75.23µm
_07063_,74.62µm
_09855_,74.62µm
_04488_,74.45µm
_06744_,74.44µm
_00895_,74.3µm
net1078,74.26µm
net1054,74.16µm
_03541_,74.1µm
clknet_leaf_45_clk,74.02µm
net800,73.92µm
a_h\[13\],73.86µm
clknet_leaf_52_clk,73.7µm
_10076_,73.6µm
_05041_,73.48µm
net776,73.435µm
_09661_,73.38µm
_02752_,73.155µm
_09872_,73µm
net1036,73µm
clknet_leaf_23_clk,72.72µm
p_ll\[28\],72.7µm
net1028,72.68µm
_06537_,72.6µm
_00348_,72.4µm
net136,72.3µm
_02916_,72.26µm
_10071_,72.25µm
_05297_,72.14µm
_09717_,72.08µm
_03288_,71.82µm
net537,71.82µm
_00490_,71.5µm
net861,71.3µm
_03489_,71.24µm
clknet_leaf_32_clk,71.22µm
a_l\[12\],71.06µm
_09716_,70.86µm
net1022,70.86µm
_01254_,70.79µm
_01856_,70.68µm
net118,70.48µm
clknet_leaf_55_clk,70.42µm
_00489_,70.34µm
_02545_,70.03µm
_02753_,70.02µm
_00000_,69.96µm
_04463_,69.78µm
_06836_,69.72µm
clknet_leaf_3_clk,69.68µm
clknet_leaf_31_clk,69.66µm
_05882_,69.6µm
_00469_,69.54µm
_00979_,69.34µm
_08437_,69.3µm
_05755_,69.22µm
_00184_,69.185µm
_09871_,68.96µm
_04264_,68.94µm
net1025,68.84µm
b_h\[14\],68.62µm
_00211_,68.605µm
net407,68.51µm
_08267_,68.49µm
_03786_,68.46µm
_08124_,68.29µm
_10115_,67.78µm
_00536_,67.76µm
_02185_,67.66µm
_05347_,67.64µm
net117,67.6µm
_02099_,67.14µm
_00375_,66.985µm
clknet_leaf_28_clk,66.98µm
clknet_leaf_13_clk,66.72µm
term_low\[16\],66.6µm
_08372_,66.56µm
_08210_,66.49µm
_03286_,66.34µm
_08436_,66.32µm
a_h\[14\],66.24µm
_05006_,66.12µm
_05260_,66.1µm
_05881_,65.94µm
_09816_,65.88µm
_08268_,65.76µm
_10007_,65.7µm
_07060_,65.48µm
_05604_,65.46µm
_05893_,64.96µm
_08353_,64.94µm
_06214_,64.92µm
_03875_,64.76µm
_08895_,64.76µm
_00569_,64.74µm
_05616_,64.6µm
term_low\[24\],64.46µm
a_h\[12\],64.38µm
_07051_,64.36µm
_05912_,64.34µm
net1020,64.26µm
_10160_,64.08µm
_05999_,63.95µm
_02546_,63.9µm
_10144_,63.9µm
_09910_,63.86µm
_02606_,63.82µm
_09854_,63.69µm
_03151_,63.58µm
_03169_,63.44µm
term_low\[25\],63.42µm
_02624_,63.36µm
_06217_,63.34µm
net824,63.2µm
net229,63.085µm
_05980_,63µm
_07722_,62.96µm
_06849_,62.91µm
_03287_,62.83µm
_10041_,62.8µm
_08471_,62.78µm
_01020_,62.7µm
_05683_,62.68µm
_06967_,62.6µm
_06784_,62.58µm
net1108,62.42µm
_05981_,62.22µm
_08364_,62.18µm
net959,62.18µm
_09320_,61.98µm
_07023_,61.96µm
a_l\[5\],61.88µm
net109,61.82µm
_05819_,61.48µm
_10006_,61.48µm
_08624_,61.44µm
_06994_,61.38µm
net89,61.32µm
clknet_leaf_6_clk,61.2µm
clknet_leaf_24_clk,61.16µm
_07257_,61.12µm
net894,61.08µm
_09131_,61.025µm
_03171_,61µm
_08352_,60.96µm
_00486_,60.925µm
_08230_,60.9µm
net106,60.82µm
_00915_,60.74µm
_02310_,60.72µm
_03163_,60.6µm
net1092,60.36µm
_02101_,60.28µm
_00374_,60.205µm
_09937_,60.02µm
_10058_,60.02µm
_03539_,59.98µm
_05223_,59.9µm
_05883_,59.83µm
_00001_,59.78µm
_00181_,59.74µm
term_low\[29\],59.72µm
b_h\[9\],59.71µm
net639,59.48µm
_05773_,59.43µm
_10070_,59.36µm
_08027_,59.29µm
_04968_,59.28µm
net139,59.165µm
net577,59.08µm
_03346_,59.04µm
_03882_,59.04µm
_08084_,59µm
_09900_,58.92µm
_00681_,58.77µm
clknet_leaf_49_clk,58.66µm
_03162_,58.64µm
_03463_,58.58µm
_05009_,58.56µm
_01262_,58.52µm
clknet_leaf_54_clk,58.48µm
_02243_,58.34µm
_03691_,58.32µm
_08723_,58.25µm
net819,58.215µm
_00488_,58.2µm
_05873_,58.1µm
_09694_,58.1µm
net1058,58.04µm
_10040_,58.02µm
_10044_,58.02µm
_05467_,58µm
_03201_,57.98µm
net912,57.95µm
_00682_,57.86µm
_05178_,57.82µm
_03121_,57.78µm
_03728_,57.72µm
_05886_,57.58µm
term_low\[15\],57.52µm
_08191_,57.48µm
_05023_,57.44µm
_01642_,57.38µm
_04451_,57.31µm
_07678_,57.3µm
_01680_,57.26µm
_09219_,57.22µm
_05652_,57.14µm
_01684_,56.98µm
_03395_,56.81µm
_06623_,56.7µm
_03488_,56.54µm
_02605_,56.48µm
_02199_,56.435µm
_05298_,56.41µm
net298,56.38µm
a_l\[9\],56.37µm
_01110_,56.29µm
_07392_,56.24µm
_09938_,56.22µm
_04811_,56.11µm
_06208_,56.08µm
_07683_,56.08µm
_05056_,56.06µm
_02907_,56µm
