Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_193_1164,VPWR,li1,541.8800,535.8400,1.799987
FILLER_193_1157,VPWR,li1,538.4300,535.8400,1.799987
FILLER_193_1149,VPWR,li1,535.9000,535.8400,1.799987
FILLER_193_1147,VPWR,li1,533.3700,535.8400,1.799988
FILLER_193_1139,VPWR,li1,531.3000,535.8400,1.799988
FILLER_193_1127,VPWR,li1,526.7000,535.8400,1.799989
FILLER_193_1121,VPWR,li1,521.6400,535.8400,1.799990
FILLER_193_1117,VPWR,li1,520.0300,535.8400,1.799990
FILLER_193_1105,VPWR,li1,516.5800,535.8400,1.799991
FILLER_193_1093,VPWR,li1,511.0600,535.8400,1.799993
FILLER_193_1090,VPWR,li1,507.3800,535.8400,1.799991
FILLER_193_1085,VPWR,li1,504.8500,535.8400,1.799990
FILLER_193_1077,VPWR,li1,502.7800,535.8400,1.799990
FILLER_193_1065,VPWR,li1,498.1800,535.8400,1.799989
FILLER_193_1061,VPWR,li1,494.2700,535.8400,1.799988
FILLER_193_1053,VPWR,li1,491.7400,535.8400,1.799988
FILLER_193_1037,VPWR,li1,485.3000,535.8400,1.799987
FILLER_193_1028,VPWR,li1,480.2400,535.8400,1.799987
FILLER_193_1016,VPWR,li1,475.6400,535.8400,1.799987
FILLER_193_1009,VPWR,li1,469.8900,535.8400,1.799987
FILLER_193_1005,VPWR,li1,468.5100,535.8400,1.799987
FILLER_193_993,VPWR,li1,465.0600,535.8400,1.799988
FILLER_193_981,VPWR,li1,459.5400,535.8400,1.799989
FILLER_193_979,VPWR,li1,456.0900,535.8400,1.799989
FILLER_193_973,VPWR,li1,453.5600,535.8400,1.799990
FILLER_193_965,VPWR,li1,451.2600,535.8400,1.799991
FILLER_193_953,VPWR,li1,446.6600,535.8400,1.799992
FILLER_193_950,VPWR,li1,442.9800,535.8400,1.799993
FILLER_193_942,VPWR,li1,440.6800,535.8400,1.799993
FILLER_193_937,VPWR,li1,436.7700,535.8400,1.799992
FILLER_193_925,VPWR,li1,433.7800,535.8400,1.799992
FILLER_193_923,VPWR,li1,430.3300,535.8400,1.799991
FILLER_193_917,VPWR,li1,428.7200,535.8400,1.799991
FILLER_193_905,VPWR,li1,424.5800,535.8400,1.799990
FILLER_193_897,VPWR,li1,419.0600,535.8400,1.799990
FILLER_193_893,VPWR,li1,416.9900,535.8400,1.799990
FILLER_193_881,VPWR,li1,413.5400,535.8400,1.799990
FILLER_193_869,VPWR,li1,408.0200,535.8400,1.799991
FILLER_193_861,VPWR,li1,402.2700,535.8400,1.799991
FILLER_193_853,VPWR,li1,399.7400,535.8400,1.799991
FILLER_193_841,VPWR,li1,395.1400,535.8400,1.799992
FILLER_193_839,VPWR,li1,391.6900,535.8400,1.799992
FILLER_193_831,VPWR,li1,389.6200,535.8400,1.799992
FILLER_193_825,VPWR,li1,385.4800,535.8400,1.799993
FILLER_193_813,VPWR,li1,382.2600,535.8400,1.799994
FILLER_193_806,VPWR,li1,377.6600,535.8400,1.799995
FILLER_193_794,VPWR,li1,373.5200,535.8400,1.799996
FILLER_193_789,VPWR,li1,368.6900,535.8400,1.799995
FILLER_193_785,VPWR,li1,367.5400,535.8400,1.799995
FILLER_193_783,VPWR,li1,365.9300,535.8400,1.799995
FILLER_193_775,VPWR,li1,363.8600,535.8400,1.799994
