net,length_um
_09690_,1.60281mm
net809,1.452875mm
net811,1.09294mm
net812,1.052115mm
_09308_,1.00456mm
_09646_,986.04µm
net808,935.12µm
net810,931.11µm
_09264_,926.44µm
_09668_,919.93µm
_09613_,898.31µm
_09679_,871.85µm
_09384_,832.05µm
_09155_,827.035µm
clknet_0_clk,819.03µm
_09220_,802.88µm
_09319_,798.96µm
_09231_,794.8µm
_09188_,785.46µm
_09286_,783.73µm
net65,776.335µm
_09275_,766.77µm
_09297_,764.85µm
_09362_,759.43µm
_09210_,753.59µm
_09602_,742.31µm
_02589_,736.38µm
_09253_,727µm
_09428_,715.36µm
_09199_,713.775µm
_09242_,711.38µm
_09460_,694.08µm
_09439_,693.27µm
_09417_,690.63µm
_02338_,682.14µm
_09635_,678.16µm
_09504_,673.01µm
net32,672µm
_09657_,670.51µm
_09449_,669.01µm
_09351_,659.8µm
_09482_,654.77µm
net31,653.38µm
_09340_,647.31µm
_09166_,632.99µm
_09624_,625.99µm
net476,603.47µm
_09471_,598µm
_09177_,580.33µm
net30,579.64µm
_04182_,579.18µm
_09581_,578.63µm
_09144_,566.63µm
_06441_,566.47µm
_09373_,558.2µm
net836,556.11µm
_09493_,553.21µm
_05043_,551.12µm
net26,542.1µm
net28,537.9µm
net29,535.18µm
_09406_,522.55µm
net472,522.26µm
net23,517.78µm
net27,517.64µm
_09515_,506.12µm
net45,503.76µm
net471,502.71µm
_09395_,501.03µm
_09592_,500.67µm
net12,498.36µm
net1,495.5µm
clknet_3_6_0_clk,492.23µm
_01860_,491.57µm
_06402_,479.97µm
net470,464.58µm
net56,453.56µm
_01855_,452.16µm
clknet_3_7_0_clk,449.74µm
clk,442.95µm
net57,440.34µm
net41,437.3µm
clknet_3_0_0_clk,432.72µm
net129,430.82µm
net699,428.975µm
_09526_,428.95µm
clknet_3_4_0_clk,418.04µm
clknet_3_3_0_clk,417.61µm
net493,415.39µm
_01871_,411.98µm
net952,407.23µm
net42,405.96µm
net122,405.2µm
net40,393.29µm
_06605_,392.88µm
a_h\[0\],391.88µm
_00035_,388.445µm
_09329_,387.38µm
net128,387.26µm
net92,387.18µm
net46,386µm
net54,383.38µm
net126,381.36µm
_02502_,380.88µm
net43,377.85µm
net744,377.84µm
net53,375.13µm
net52,375.05µm
clknet_3_1_0_clk,374.21µm
clknet_3_2_0_clk,373.44µm
net127,373.32µm
net723,371.09µm
_01888_,367.27µm
net47,365.3µm
net486,365.01µm
net120,364.96µm
net467,362.365µm
net51,357.48µm
net50,355.34µm
_06521_,354.89µm
net48,354.42µm
_01460_,353.94µm
_01857_,352.145µm
net765,352.01µm
_04555_,351.585µm
net49,350.66µm
net554,349.91µm
net743,349.505µm
net121,349.22µm
_00034_,344.585µm
net3,343.36µm
_00055_,340.32µm
net539,338.46µm
net4,338.26µm
net674,338.21µm
net779,337.645µm
net489,335.26µm
net488,335.21µm
p_hl\[22\],334.87µm
net468,334.61µm
net742,334.135µm
clknet_3_5_0_clk,332.16µm
net495,332.04µm
net7,331.3µm
_04260_,330.87µm
p_hl\[21\],330.83µm
net2,330.78µm
net5,330.7µm
net641,329.79µm
a_h\[1\],327.32µm
net502,325.63µm
net64,325.34µm
net110,325.06µm
net6,324.96µm
net781,324.785µm
net735,324.69µm
p_hl\[20\],321.38µm
_00065_,321.34µm
net13,320.6µm
net720,319.49µm
net24,319.34µm
net728,317.495µm
net63,317.26µm
_06867_,315.33µm
net740,315.08µm
net500,314.28µm
