Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_147_869,VGND,li1,407.1000,413.4400,0.000000
FILLER_147_865,VGND,li1,404.1100,413.4400,0.000000
FILLER_147_853,VGND,li1,400.6600,413.4400,0.000000
FILLER_147_841,VGND,li1,395.1400,413.4400,0.000000
FILLER_147_837,VGND,li1,391.2300,413.4400,0.000000
FILLER_147_825,VGND,li1,387.7800,413.4400,0.000000
FILLER_147_813,VGND,li1,382.2600,413.4400,0.000000
FILLER_147_809,VGND,li1,378.3500,413.4400,0.000000
FILLER_147_797,VGND,li1,374.9000,413.4400,0.000000
FILLER_147_785,VGND,li1,369.3800,413.4400,0.000000
FILLER_147_781,VGND,li1,365.4700,413.4400,0.000000
FILLER_147_769,VGND,li1,362.0200,413.4400,0.000001
FILLER_147_757,VGND,li1,356.5000,413.4400,0.000001
FILLER_147_753,VGND,li1,352.5900,413.4400,0.000001
FILLER_147_741,VGND,li1,349.1400,413.4400,0.000001
FILLER_147_729,VGND,li1,343.6200,413.4400,0.000001
FILLER_147_725,VGND,li1,339.7100,413.4400,0.000001
FILLER_147_713,VGND,li1,336.2600,413.4400,0.000001
FILLER_147_701,VGND,li1,330.7400,413.4400,0.000001
FILLER_147_699,VGND,li1,327.2900,413.4400,0.000001
FILLER_147_693,VGND,li1,325.6800,413.4400,0.000001
FILLER_147_681,VGND,li1,321.5400,413.4400,0.000002
FILLER_147_673,VGND,li1,315.3300,413.4400,0.000003
FILLER_147_669,VGND,li1,313.9500,413.4400,0.000003
FILLER_147_657,VGND,li1,310.5000,413.4400,0.000004
FILLER_147_645,VGND,li1,304.9800,413.4400,0.000004
FILLER_147_641,VGND,li1,301.0700,413.4400,0.000005
FILLER_147_629,VGND,li1,297.6200,413.4400,0.000005
FILLER_147_617,VGND,li1,292.1000,413.4400,0.000006
FILLER_147_614,VGND,li1,288.4200,413.4400,0.000007
FILLER_147_606,VGND,li1,286.1200,413.4400,0.000007
FILLER_147_589,VGND,li1,277.1500,413.4400,0.000007
FILLER_147_585,VGND,li1,275.3100,413.4400,0.000006
FILLER_147_573,VGND,li1,271.8600,413.4400,0.000008
FILLER_147_569,VGND,li1,267.4900,413.4400,0.000010
FILLER_147_561,VGND,li1,265.4200,413.4400,0.000010
FILLER_147_556,VGND,li1,262.2000,413.4400,0.000011
FILLER_147_540,VGND,li1,254.8400,413.4400,0.000013
FILLER_147_529,VGND,li1,249.5500,413.4400,0.000013
FILLER_147_517,VGND,li1,246.1000,413.4400,0.000012
FILLER_147_505,VGND,li1,240.5800,413.4400,0.000010
FILLER_147_501,VGND,li1,236.6700,413.4400,0.000008
FILLER_147_489,VGND,li1,233.2200,413.4400,0.000007
FILLER_147_477,VGND,li1,227.7000,413.4400,0.000005
FILLER_147_470,VGND,li1,223.1000,413.4400,0.000004
FILLER_147_461,VGND,li1,218.5000,413.4400,0.000004
FILLER_147_449,VGND,li1,214.8200,413.4400,0.000004
FILLER_147_445,VGND,li1,210.9100,413.4400,0.000003
FILLER_147_433,VGND,li1,207.4600,413.4400,0.000003
FILLER_147_421,VGND,li1,201.9400,413.4400,0.000003
FILLER_147_408,VGND,li1,195.9600,413.4400,0.000002
FILLER_147_396,VGND,li1,190.4400,413.4400,0.000002
FILLER_147_389,VGND,li1,185.1500,413.4400,0.000001
FILLER_147_377,VGND,li1,181.7000,413.4400,0.000001
FILLER_147_365,VGND,li1,176.1800,413.4400,0.000001
FILLER_147_358,VGND,li1,171.5800,413.4400,0.000001
FILLER_147_349,VGND,li1,166.9800,413.4400,0.000001
FILLER_147_337,VGND,li1,163.3000,413.4400,0.000001
FILLER_147_333,VGND,li1,159.3900,413.4400,0.000000
FILLER_147_321,VGND,li1,155.9400,413.4400,0.000000
FILLER_147_309,VGND,li1,150.4200,413.4400,0.000000
FILLER_147_305,VGND,li1,146.5100,413.4400,0.000000
FILLER_147_293,VGND,li1,143.0600,413.4400,0.000000
FILLER_147_281,VGND,li1,137.5400,413.4400,0.000000
FILLER_147_277,VGND,li1,133.6300,413.4400,0.000000
FILLER_147_265,VGND,li1,130.1800,413.4400,0.000000
FILLER_147_253,VGND,li1,124.6600,413.4400,0.000000
FILLER_147_249,VGND,li1,120.7500,413.4400,0.000000
FILLER_147_237,VGND,li1,117.3000,413.4400,0.000000
FILLER_147_225,VGND,li1,111.7800,413.4400,0.000000
FILLER_147_221,VGND,li1,107.8700,413.4400,0.000000
FILLER_147_209,VGND,li1,104.4200,413.4400,0.000000
FILLER_147_197,VGND,li1,98.9000,413.4400,0.000000
FILLER_147_193,VGND,li1,94.9900,413.4400,0.000000
FILLER_147_181,VGND,li1,91.5400,413.4400,0.000000
FILLER_147_169,VGND,li1,86.0200,413.4400,0.000000
FILLER_147_165,VGND,li1,82.1100,413.4400,0.000000
FILLER_147_153,VGND,li1,78.6600,413.4400,0.000000
FILLER_147_141,VGND,li1,73.1400,413.4400,0.000000
FILLER_147_137,VGND,li1,69.2300,413.4400,0.000000
FILLER_147_125,VGND,li1,65.7800,413.4400,0.000000
FILLER_147_113,VGND,li1,60.2600,413.4400,0.000000
FILLER_147_109,VGND,li1,56.3500,413.4400,0.000000
FILLER_147_97,VGND,li1,52.9000,413.4400,0.000000
FILLER_147_85,VGND,li1,47.3800,413.4400,0.000000
FILLER_147_81,VGND,li1,43.4700,413.4400,0.000000
FILLER_147_69,VGND,li1,40.0200,413.4400,0.000000
FILLER_147_57,VGND,li1,34.5000,413.4400,0.000000
FILLER_147_53,VGND,li1,30.5900,413.4400,0.000000
FILLER_147_41,VGND,li1,27.1400,413.4400,0.000000
FILLER_147_29,VGND,li1,21.6200,413.4400,0.000000
FILLER_147_27,VGND,li1,18.1700,413.4400,0.000000
FILLER_147_15,VGND,li1,15.1800,413.4400,0.000000
FILLER_147_3,VGND,li1,9.6600,413.4400,0.000000
FILLER_146_869,VGND,li1,407.1000,408.0000,0.000010
FILLER_146_867,VGND,li1,404.5700,408.0000,0.000010
FILLER_146_861,VGND,li1,402.9600,408.0000,0.000010
FILLER_146_849,VGND,li1,398.8200,408.0000,0.000010
FILLER_146_837,VGND,li1,393.3000,408.0000,0.000010
FILLER_146_825,VGND,li1,387.7800,408.0000,0.000010
FILLER_146_813,VGND,li1,382.2600,408.0000,0.000010
FILLER_146_811,VGND,li1,378.8100,408.0000,0.000010
FILLER_146_805,VGND,li1,377.2000,408.0000,0.000010
FILLER_146_793,VGND,li1,373.0600,408.0000,0.000011
FILLER_146_781,VGND,li1,367.5400,408.0000,0.000012
