net,length_um
_1823_,62.34µm
net143,62.3µm
_2227_,62.18µm
_1384_,62.12µm
_0284_,61.85µm
_0555_,61.75µm
_0964_,61.14µm
_0820_,60.04µm
_1263_,59.98µm
net313,59.9µm
_1857_,59.62µm
_0328_,59.39µm
_2058_,58.5µm
_1982_,58.39µm
_0606_,58.36µm
net265,58.22µm
net310,58.2µm
_0403_,58.015µm
_2473_,57.9µm
_0516_,57.78µm
net208,57.73µm
_2439_,57.63µm
_0335_,57.58µm
_1459_,57.52µm
_0185_,57.48µm
_1291_,57.32µm
_0784_,57.27µm
_1969_,57.18µm
_0110_,57.06µm
_2128_,56.96µm
_0343_,56.94µm
net171,56.9µm
_2323_,56.84µm
_1549_,56.36µm
_2144_,56.26µm
_1856_,55.72µm
_1124_,55.66µm
_0433_,55.64µm
net249,55.42µm
_1156_,55.34µm
_1016_,55.24µm
net247,55µm
_1202_,54.86µm
_0675_,54.74µm
net155,54.54µm
_0432_,54.52µm
_0199_,54.45µm
_1286_,53.9µm
_0887_,53.89µm
_0480_,53.88µm
_2207_,53.74µm
_0565_,53.675µm
net169,53.64µm
_0179_,53.3µm
in2_reg\[1\],53.02µm
_1970_,52.77µm
_0384_,52.42µm
_0633_,52.24µm
_2312_,52.08µm
_1059_,52.04µm
_0148_,51.87µm
_0511_,51.82µm
_1201_,51.8µm
in2_reg\[13\],51.58µm
_2226_,51.37µm
_0643_,51.36µm
_1340_,51.26µm
_2351_,51.2µm
_1122_,51.06µm
net158,50.48µm
_2039_,50.14µm
_0674_,49.98µm
_1560_,49.98µm
_2113_,49.96µm
_1158_,49.74µm
_1928_,49.59µm
net99,49.54µm
in2_reg\[0\],49.36µm
_1243_,49.315µm
_2199_,49.26µm
_0386_,48.94µm
_0653_,48.815µm
_1352_,48.56µm
_1958_,48.52µm
_0544_,48.46µm
_1049_,48.29µm
net52,48.2µm
_0333_,48.18µm
_1262_,48.13µm
_0418_,47.96µm
_0505_,47.96µm
_1163_,47.72µm
net288,47.72µm
_1989_,47.6µm
_0292_,47.58µm
_1300_,47.54µm
_0671_,47.26µm
_0551_,47.22µm
_0870_,47.09µm
_2346_,47.06µm
_1849_,46.98µm
_2409_,46.98µm
_0266_,46.9µm
_1159_,46.81µm
in2_reg\[11\],46.76µm
_1154_,46.6µm
_1786_,46.58µm
_0398_,46.5µm
_0904_,46.38µm
_0997_,46.12µm
_2133_,45.86µm
_1971_,45.7µm
_1450_,45.66µm
_0519_,45.64µm
_1350_,45.64µm
_0245_,45.54µm
_0867_,45.47µm
_1386_,45.46µm
_1236_,45.12µm
_1663_,45.12µm
