net,length_um
net794,1.314335mm
net797,1.05894mm
_09646_,1.054975mm
net793,1.0494mm
net796,1.045565mm
net795,895.73µm
_09384_,895.21µm
_09308_,878.98µm
clknet_0_clk,868.85µm
_09690_,861.655µm
_09679_,854.76µm
_09417_,851.61µm
_09668_,838.26µm
_09428_,825.39µm
_09220_,822µm
_09613_,815.22µm
_09155_,802.1µm
_09199_,788.32µm
_09264_,777.61µm
net65,776.81µm
_09439_,733.53µm
_09449_,732.31µm
_09286_,714.84µm
_09602_,703.15µm
_09297_,700.65µm
_09362_,693.17µm
_09406_,684.64µm
_09242_,677.325µm
_05043_,673.435µm
_09231_,672.76µm
_02338_,671.68µm
_09253_,666.15µm
_02589_,664.14µm
_09460_,658.17µm
_09275_,657.97µm
_09319_,648.7µm
_09210_,648.26µm
_09340_,648.16µm
_09177_,642.97µm
_09395_,640.56µm
_09482_,620.54µm
_09657_,613.94µm
_06441_,607.73µm
_09166_,601.86µm
_09188_,601.26µm
_09624_,571.53µm
net805,568.64µm
_09471_,565.42µm
_09581_,534.68µm
_04182_,524.74µm
_09493_,518.97µm
_09373_,512.49µm
_09351_,498.92µm
_09144_,498.21µm
_09635_,496.58µm
_06402_,471µm
_09504_,457.08µm
_01871_,455.44µm
_01888_,454.5µm
_01860_,452.4µm
net459,439.76µm
net713,439.145µm
_01460_,438.13µm
net455,425.78µm
_09592_,422.3µm
net489,421.92µm
net484,412.225µm
net457,411.05µm
net730,406.47µm
_09515_,402.825µm
net706,397.535µm
_04260_,392.84µm
_02588_,381.59µm
net458,376.115µm
clknet_3_4__leaf_clk,371.98µm
net480,370.75µm
_06761_,365.52µm
net474,362.56µm
clknet_3_2__leaf_clk,361.32µm
net481,360.07µm
_09526_,359.76µm
net475,356.85µm
net1032,356.645µm
_06605_,356.64µm
net763,355.74µm
a_l\[0\],354.3µm
net701,353.565µm
net555,348.075µm
net729,343.875µm
_06521_,342.94µm
_01855_,342.84µm
net477,341.3µm
net922,341.18µm
net472,341.035µm
clknet_3_7__leaf_clk,340.25µm
net483,338.94µm
net628,336.605µm
net580,333.2µm
_06985_,332.94µm
net463,331.37µm
net717,330.64µm
net596,329.64µm
clknet_3_3__leaf_clk,327.05µm
net496,326.875µm
net687,325.06µm
_04555_,320.16µm
_05044_,319.66µm
net716,319.495µm
net689,317.37µm
net696,317.36µm
clknet_3_1__leaf_clk,312.18µm
net679,311.505µm
_02502_,311.44µm
net707,311.06µm
net674,311.02µm
clknet_3_5__leaf_clk,310.25µm
net759,307.885µm
net499,307.83µm
net487,307.63µm
net726,306.86µm
net485,306.4µm
net167,305.63µm
net749,305.27µm
net1062,304.71µm
_00349_,303.875µm
net479,301.86µm
_00350_,300.555µm
net491,299.2µm
net589,297.44µm
_02278_,296.56µm
net517,295.24µm
net754,292.81µm
net488,292.695µm
net610,290.36µm
net670,288.41µm
net764,287.94µm
net516,287.81µm
net703,287.775µm
_04134_,287.53µm
net511,287.13µm
_00352_,284.915µm
net680,284.33µm
net690,284.085µm
_04133_,283.43µm
_00351_,282.365µm
net515,281.41µm
net740,280.85µm
net524,279.57µm
clknet_3_0__leaf_clk,276.83µm
net725,276.57µm
net999,276.39µm
net549,275.065µm
net714,274.33µm
net780,273.82µm
net630,272.62µm
net627,272.35µm
net723,272.28µm
_06480_,271.45µm
net757,271.35µm
net777,270.485µm
_00435_,270.04µm
net476,269.86µm
_01857_,268.82µm
net620,267.81µm
net623,265.76µm
net568,265.68µm
net478,264.44µm
net518,263.985µm
net712,262.79µm
_02082_,261.03µm
net1023,258.23µm
net693,257.93µm
_06681_,257.76µm
net681,257.05µm
net497,256.64µm
net721,256.06µm
net514,255.81µm
net705,255.08µm
net1125,254.89µm
p_hl\[22\],254.82µm
net772,254.8µm
p_hl\[23\],254.45µm
net751,253.86µm
net722,253.4µm
net718,253.105µm
net731,252.41µm
net719,252.31µm
net784,251.73µm
p_hl\[21\],250.58µm
net540,250.28µm
net699,249.68µm
net727,248.98µm
_09329_,248.42µm
_02613_,247.38µm
net677,246.98µm
net561,245.81µm
net545,245.24µm
net572,244.62µm
net748,244.6µm
clknet_3_6__leaf_clk,243.56µm
net732,243.08µm
b_l\[15\],243µm
net553,242.62µm
net964,240.78µm
net502,240.31µm
net570,239.34µm
net548,239.01µm
net682,238.97µm
net606,238.255µm
net509,237.94µm
net501,236.95µm
net685,236.94µm
net736,236.42µm
net708,236.1µm
a_h\[3\],235.71µm
_07234_,235.64µm
net541,235.3µm
net544,235.26µm
net665,235.18µm
_00434_,234.98µm
net503,234.72µm
net512,232.985µm
net724,232.175µm
b_l\[4\],232.17µm
net505,231.84µm
net692,231.06µm
_00425_,230.58µm
net661,230.09µm
_00427_,230.06µm
_00436_,228.71µm
net715,227.4µm
net603,227.2µm
b_l\[14\],227.16µm
net28,226.98µm
net770,226.27µm
net493,226.09µm
net769,225.24µm
net564,223.98µm
net667,222.69µm
_02362_,222.16µm
net798,221.84µm
_06867_,221.55µm
net607,221.52µm
net756,221.5µm
net492,221.12µm
net683,220.035µm
_00438_,219.88µm
_00424_,219.04µm
net709,218.305µm
net534,217.88µm
net698,217.27µm
net634,217.215µm
_00426_,216.98µm
net629,216.51µm
net506,216.42µm
net574,216µm
net775,215.66µm
net557,214.7µm
a_h\[0\],214.53µm
