net,length_um
net793,1.48518mm
net792,1.34966mm
net795,1.32351mm
net791,1.09892mm
_09646_,956.97µm
_09679_,947.68µm
_09308_,942.65µm
_09384_,924.85µm
_09417_,921.11µm
_09428_,860.34µm
clknet_0_clk,859.86µm
_09340_,856.86µm
_09264_,852.34µm
net794,844.14µm
_09613_,817.33µm
net65,796.675µm
_09439_,796.16µm
_09668_,776.57µm
_09297_,766.53µm
_09319_,761.03µm
_09449_,749.43µm
_09602_,732.54µm
_09220_,732.38µm
_09155_,716.14µm
_09362_,700.58µm
_02338_,686.58µm
_09373_,686.34µm
_09286_,665.94µm
_09242_,657.82µm
_09177_,651.21µm
_02589_,647.67µm
_09635_,645.05µm
_09275_,642.8µm
_09351_,639.74µm
_09460_,638.01µm
_09210_,637.02µm
_09231_,636.16µm
_09199_,627.905µm
_09395_,618.39µm
_09406_,608.55µm
_09166_,591.5µm
_04182_,584.39µm
_09253_,580.5µm
_09471_,568.38µm
_09482_,566.37µm
_09188_,560.81µm
_05043_,559.96µm
_04259_,553.8µm
_01860_,546µm
_06441_,533.81µm
_09624_,526.96µm
_09657_,521.42µm
_01888_,511.62µm
net463,498.49µm
_06401_,491.215µm
_01871_,490.68µm
_09504_,487.87µm
_09592_,478.22µm
_09690_,477.3µm
net471,440.585µm
_09581_,438.09µm
_06761_,425.84µm
_09493_,420.98µm
_06402_,415.28µm
_09144_,408.44µm
_01855_,404.08µm
net459,400.46µm
_09515_,395.94µm
_01460_,393.265µm
_06605_,384.38µm
clknet_3_1__leaf_clk,383.91µm
clknet_3_3__leaf_clk,380.43µm
clknet_3_4__leaf_clk,377.6µm
clknet_3_2__leaf_clk,376.16µm
clknet_3_6__leaf_clk,373.22µm
_05044_,373.2µm
net458,372.435µm
net670,370.38µm
clknet_3_0__leaf_clk,370.14µm
_04555_,369.22µm
_01857_,361.78µm
net517,355.26µm
net762,355.12µm
net698,352.54µm
net482,350.79µm
net524,337.86µm
net729,336.05µm
_04260_,334.88µm
_09526_,334.72µm
