Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_147_869,VPWR,li1,406.1800,410.7200,1.799922
FILLER_147_862,VPWR,li1,403.4200,410.7200,1.799923
FILLER_147_850,VPWR,li1,399.2800,410.7200,1.799923
FILLER_147_845,VPWR,li1,394.4500,410.7200,1.799925
FILLER_147_841,VPWR,li1,393.3000,410.7200,1.799927
FILLER_147_834,VPWR,li1,390.5400,410.7200,1.799929
FILLER_147_822,VPWR,li1,386.4000,410.7200,1.799933
FILLER_147_817,VPWR,li1,381.5700,410.7200,1.799943
FILLER_147_813,VPWR,li1,380.4200,410.7200,1.799943
FILLER_147_806,VPWR,li1,377.6600,410.7200,1.799947
FILLER_147_794,VPWR,li1,373.5200,410.7200,1.799958
FILLER_147_789,VPWR,li1,368.6900,410.7200,1.799952
FILLER_147_785,VPWR,li1,367.5400,410.7200,1.799948
FILLER_147_783,VPWR,li1,365.9300,410.7200,1.799948
FILLER_147_775,VPWR,li1,363.8600,410.7200,1.799944
FILLER_147_761,VPWR,li1,355.8100,410.7200,1.799936
FILLER_147_757,VPWR,li1,354.6600,410.7200,1.799936
FILLER_147_750,VPWR,li1,351.9000,410.7200,1.799935
FILLER_147_738,VPWR,li1,347.7600,410.7200,1.799935
FILLER_147_733,VPWR,li1,342.9300,410.7200,1.799937
FILLER_147_729,VPWR,li1,341.7800,410.7200,1.799937
FILLER_147_722,VPWR,li1,339.0200,410.7200,1.799938
FILLER_147_710,VPWR,li1,334.8800,410.7200,1.799942
FILLER_147_705,VPWR,li1,330.0500,410.7200,1.799947
FILLER_147_701,VPWR,li1,328.9000,410.7200,1.799951
FILLER_147_694,VPWR,li1,326.1400,410.7200,1.799954
FILLER_147_682,VPWR,li1,322.0000,410.7200,1.799960
FILLER_147_677,VPWR,li1,317.1700,410.7200,1.799948
FILLER_147_673,VPWR,li1,316.0200,410.7200,1.799948
FILLER_147_666,VPWR,li1,313.2600,410.7200,1.799941
FILLER_147_654,VPWR,li1,309.1200,410.7200,1.799932
FILLER_147_649,VPWR,li1,304.2900,410.7200,1.799924
FILLER_147_645,VPWR,li1,303.1400,410.7200,1.799921
