net,length_um
net102,24.02µm
net166,23.98µm
_0336_,23.96µm
_0695_,23.95µm
_0485_,23.76µm
_0581_,23.76µm
_0299_,23.7µm
net158,23.56µm
net242,23.46µm
_0109_,23.38µm
_0895_,23.26µm
in3[15],23.1µm
_0120_,23.08µm
net19,22.98µm
_0339_,22.94µm
net75,22.94µm
_0774_,22.8µm
_0337_,22.7µm
net71,22.66µm
net192,22.64µm
_0169_,22.6µm
_0404_,22.6µm
_0388_,22.58µm
_0207_,22.54µm
_0539_,22.54µm
_0367_,22.5µm
in3[60],22.48µm
_0709_,22.3µm
_0867_,22.2µm
net88,22.2µm
_0363_,22.18µm
_0256_,22.12µm
_0036_,22.085µm
_0946_,22.005µm
_0236_,22µm
_0679_,22µm
_0602_,21.92µm
_0640_,21.92µm
_0856_,21.74µm
_0097_,21.68µm
_0365_,21.66µm
in1[15],21.6µm
net176,21.58µm
net174,21.56µm
_0382_,21.52µm
_0957_,21.52µm
_0176_,21.5µm
net28,21.38µm
_0360_,21.3µm
_0456_,21.28µm
_0600_,21.18µm
_0190_,21.12µm
_0577_,21.12µm
_0100_,21.08µm
net108,21µm
_0161_,20.96µm
_0648_,20.92µm
_0078_,20.9µm
_0705_,20.88µm
_0636_,20.8µm
_0200_,20.78µm
net131,20.74µm
_0738_,20.7µm
net122,20.7µm
net129,20.62µm
_0277_,20.58µm
_0750_,20.54µm
_0260_,20.52µm
_0015_,20.505µm
net5,20.5µm
_0441_,20.46µm
_0215_,20.42µm
_0450_,20.415µm
_0196_,20.37µm
_0017_,20.34µm
_0107_,20.34µm
_0103_,20.32µm
_0452_,20.24µm
_0862_,20.22µm
_0143_,20.2µm
_0144_,20.16µm
net69,20.14µm
_0919_,20.06µm
net138,20.04µm
_0268_,20µm
_0920_,19.98µm
_0071_,19.92µm
_0469_,19.92µm
_0156_,19.84µm
_0037_,19.825µm
_0079_,19.82µm
net24,19.755µm
_0907_,19.74µm
_0514_,19.72µm
net12,19.7µm
_0364_,19.66µm
_0383_,19.64µm
_0481_,19.64µm
net11,19.635µm
net142,19.56µm
_0361_,19.52µm
_0552_,19.52µm
net95,19.52µm
_0663_,19.5µm
_0944_,19.48µm
_0937_,19.46µm
_0325_,19.42µm
net259,19.4µm
_0951_,19.36µm
net151,19.36µm
_0731_,19.3µm
net136,19.3µm
in1[52],19.26µm
in1[59],19.24µm
_0593_,19.22µm
_0121_,19.2µm
_0917_,19.16µm
net1,19.08µm
_0947_,19.06µm
_0942_,19µm
net64,18.98µm
net65,18.96µm
net89,18.92µm
_0213_,18.82µm
_0604_,18.82µm
in2[52],18.76µm
_0578_,18.7µm
_0757_,18.7µm
_0504_,18.68µm
net113,18.63µm
_0864_,18.62µm
_0748_,18.58µm
net164,18.58µm
_0531_,18.56µm
_0179_,18.5µm
_0189_,18.48µm
_0392_,18.48µm
_0134_,18.36µm
_0486_,18.36µm
_0815_,18.245µm
_0547_,18.24µm
_0293_,18.23µm
_0232_,18.2µm
_0890_,18.18µm
_0319_,18.12µm
in3[59],18.08µm
net152,18.04µm
net98,17.96µm
net196,17.94µm
_0323_,17.86µm
net35,17.82µm
_0704_,17.78µm
net7,17.78µm
_0440_,17.74µm
net112,17.74µm
_0459_,17.66µm
_0288_,17.64µm
_0929_,17.62µm
_0008_,17.6µm
_0306_,17.6µm
_0329_,17.6µm
_0439_,17.6µm
in2[9],17.58µm
net32,17.56µm
_0570_,17.54µm
_0909_,17.395µm
_0722_,17.38µm
_0403_,17.36µm
_0698_,17.3µm
_0146_,17.26µm
in1[31],17.21µm
in1[9],17.16µm
_0797_,17.14µm
_0149_,17.1µm
_0694_,17.1µm
_0470_,16.99µm
_0576_,16.98µm
net141,16.9µm
_0561_,16.88µm
_0791_,16.86µm
_0824_,16.84µm
_0106_,16.82µm
_0832_,16.82µm
_0616_,16.8µm
net172,16.8µm
net250,16.78µm
_0509_,16.76µm
_0808_,16.74µm
_0249_,16.68µm
_0650_,16.64µm
_0693_,16.64µm
_0755_,16.64µm
_0124_,16.56µm
_0278_,16.56µm
net175,16.56µm
_0580_,16.48µm
_0839_,16.4µm
