Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_285_1709,VGND,li1,792.3500,788.8000,0.000005
FILLER_285_1707,VGND,li1,790.9700,788.8000,0.000005
FILLER_285_1699,VGND,li1,788.9000,788.8000,0.000005
FILLER_285_1693,VGND,li1,784.7600,788.8000,0.000005
FILLER_285_1681,VGND,li1,781.5400,788.8000,0.000004
FILLER_285_1677,VGND,li1,777.6300,788.8000,0.000004
FILLER_285_1665,VGND,li1,774.1800,788.8000,0.000003
FILLER_285_1653,VGND,li1,768.6600,788.8000,0.000004
FILLER_285_1651,VGND,li1,765.2100,788.8000,0.000005
FILLER_285_1645,VGND,li1,763.6000,788.8000,0.000005
FILLER_285_1637,VGND,li1,759.4600,788.8000,0.000005
FILLER_285_1625,VGND,li1,755.7800,788.8000,0.000005
FILLER_285_1621,VGND,li1,751.8700,788.8000,0.000005
FILLER_285_1609,VGND,li1,748.4200,788.8000,0.000005
FILLER_285_1597,VGND,li1,742.9000,788.8000,0.000005
FILLER_285_1595,VGND,li1,739.4500,788.8000,0.000005
FILLER_285_1591,VGND,li1,738.3000,788.8000,0.000005
FILLER_285_1581,VGND,li1,734.1600,788.8000,0.000005
FILLER_285_1569,VGND,li1,730.0200,788.8000,0.000004
FILLER_285_1565,VGND,li1,726.1100,788.8000,0.000004
FILLER_285_1553,VGND,li1,722.6600,788.8000,0.000004
FILLER_285_1541,VGND,li1,717.1400,788.8000,0.000005
FILLER_285_1537,VGND,li1,713.2300,788.8000,0.000006
FILLER_285_1525,VGND,li1,708.8600,788.8000,0.000006
FILLER_285_1513,VGND,li1,704.2600,788.8000,0.000006
FILLER_285_1509,VGND,li1,700.3500,788.8000,0.000006
FILLER_285_1497,VGND,li1,696.9000,788.8000,0.000006
FILLER_285_1485,VGND,li1,691.3800,788.8000,0.000006
FILLER_285_1483,VGND,li1,687.9300,788.8000,0.000006
FILLER_285_1477,VGND,li1,685.4000,788.8000,0.000006
FILLER_285_1469,VGND,li1,683.1000,788.8000,0.000005
FILLER_285_1457,VGND,li1,678.5000,788.8000,0.000004
FILLER_285_1453,VGND,li1,674.5900,788.8000,0.000004
FILLER_285_1445,VGND,li1,672.0600,788.8000,0.000004
FILLER_285_1433,VGND,li1,667.4600,788.8000,0.000005
FILLER_285_1425,VGND,li1,661.7100,788.8000,0.000006
FILLER_285_1413,VGND,li1,658.2600,788.8000,0.000006
FILLER_285_1401,VGND,li1,652.7400,788.8000,0.000006
FILLER_285_1397,VGND,li1,648.8300,788.8000,0.000006
FILLER_285_1389,VGND,li1,646.3000,788.8000,0.000006
FILLER_285_1377,VGND,li1,641.7000,788.8000,0.000006
FILLER_285_1369,VGND,li1,635.9500,788.8000,0.000005
FILLER_285_1357,VGND,li1,632.5000,788.8000,0.000005
FILLER_285_1345,VGND,li1,626.9800,788.8000,0.000003
FILLER_285_1341,VGND,li1,623.0700,788.8000,0.000003
FILLER_285_1333,VGND,li1,620.5400,788.8000,0.000004
FILLER_285_1321,VGND,li1,615.9400,788.8000,0.000004
FILLER_285_1313,VGND,li1,610.1900,788.8000,0.000005
FILLER_285_1301,VGND,li1,606.7400,788.8000,0.000004
FILLER_285_1289,VGND,li1,601.2200,788.8000,0.000004
FILLER_285_1287,VGND,li1,597.7700,788.8000,0.000004
FILLER_285_1279,VGND,li1,595.7000,788.8000,0.000004
FILLER_285_1267,VGND,li1,591.1000,788.8000,0.000004
FILLER_285_1261,VGND,li1,586.0400,788.8000,0.000003
FILLER_285_1257,VGND,li1,584.4300,788.8000,0.000003
FILLER_285_1245,VGND,li1,580.9800,788.8000,0.000003
FILLER_285_1233,VGND,li1,575.4600,788.8000,0.000002
FILLER_285_1231,VGND,li1,572.0100,788.8000,0.000002
FILLER_285_1225,VGND,li1,570.4000,788.8000,0.000002
FILLER_285_1213,VGND,li1,566.2600,788.8000,0.000003
FILLER_285_1205,VGND,li1,560.7400,788.8000,0.000003
FILLER_285_1201,VGND,li1,558.6700,788.8000,0.000003
FILLER_285_1189,VGND,li1,555.2200,788.8000,0.000003
FILLER_285_1177,VGND,li1,549.7000,788.8000,0.000003
FILLER_285_1175,VGND,li1,546.2500,788.8000,0.000003
FILLER_285_1171,VGND,li1,545.1000,788.8000,0.000003
FILLER_285_1159,VGND,li1,541.4200,788.8000,0.000003
FILLER_285_1149,VGND,li1,535.4400,788.8000,0.000003
FILLER_285_1145,VGND,li1,532.9100,788.8000,0.000002
FILLER_285_1133,VGND,li1,529.4600,788.8000,0.000002
