net,length_um
net833,1.56482mm
net832,1.33618mm
net831,1.20534mm
net835,1.172865mm
net834,1.09002mm
_09679_,1.023mm
_09646_,1.00113mm
_09428_,978.14µm
_09613_,973.39µm
_09264_,951.61µm
_09308_,943.37µm
clknet_0_clk,911.06µm
_09155_,897.185µm
_09439_,896.21µm
_09384_,877.63µm
_09188_,869.725µm
_09199_,857.29µm
_09220_,855.23µm
_09231_,850.96µm
_09449_,803.65µm
_09668_,790.16µm
_09166_,766.5µm
_04182_,760.31µm
_09210_,758.61µm
_09602_,751.6µm
_09417_,733.21µm
_09242_,726.37µm
_09253_,721.81µm
_09319_,719.7µm
_09362_,704.33µm
_09297_,701.2µm
_09395_,691.17µm
_09286_,688.525µm
_09460_,685.42µm
_09592_,681.28µm
_09581_,667.75µm
_09275_,660.91µm
_09482_,658.08µm
_09144_,625.27µm
_05043_,615.84µm
_09340_,604.4µm
net504,591.27µm
net1087,588.29µm
_09406_,587.54µm
_09177_,580.07µm
_09504_,579.11µm
_09471_,570.35µm
_09657_,554.54µm
_04555_,550.24µm
_09493_,532.62µm
_06441_,525.02µm
_06401_,512.185µm
_01860_,498.18µm
_09351_,484.75µm
_06605_,478.96µm
_06402_,470.96µm
_09624_,468.89µm
net65,458.36µm
net1063,457.76µm
_02338_,456.01µm
net499,447.21µm
clknet_3_6__leaf_clk,444.68µm
_01888_,443µm
net497,435.11µm
_02589_,432.77µm
_09329_,428.36µm
_09526_,422.715µm
net498,419.8µm
net517,417.875µm
_09373_,413.72µm
net561,410.4µm
b_h\[15\],410.27µm
net765,410.01µm
clk,408.98µm
_09635_,399.47µm
_06521_,396.85µm
_01871_,391.99µm
net764,381.85µm
net1085,380.11µm
_09515_,379.63µm
net515,376.29µm
net547,373.22µm
clknet_3_3__leaf_clk,370.52µm
clknet_3_1__leaf_clk,368.1µm
net524,365.485µm
net743,360.035µm
net640,360µm
net521,359.64µm
net495,358.44µm
net520,356.97µm
net615,354.74µm
net759,354.7µm
net763,353.455µm
net797,352.85µm
net531,346.7µm
net701,342.295µm
net799,338.88µm
_04260_,337.03µm
net758,336.435µm
_06761_,334.67µm
net718,326.275µm
net783,323.4µm
clknet_3_2__leaf_clk,319.94µm
net533,318.98µm
net527,318.9µm
net746,317.35µm
_05044_,316.36µm
_02278_,316.31µm
clknet_3_7__leaf_clk,316.25µm
clknet_3_5__leaf_clk,315.98µm
net749,315.61µm
net529,315.51µm
net526,315.25µm
net634,311.95µm
net665,311.03µm
net662,309.9µm
_06480_,309.54µm
_01857_,309.02µm
_09690_,308.76µm
clknet_3_4__leaf_clk,308.69µm
_01855_,308.15µm
net563,306.91µm
net668,300.24µm
net667,299.74µm
net567,297.85µm
_06440_,297.63µm
net748,296.95µm
net589,296.51µm
net716,295.46µm
net814,294.49µm
net522,294.15µm
b_l\[14\],293.78µm
net808,293.15µm
b_h\[11\],293.06µm
net539,292.49µm
_02502_,292.445µm
net525,291.19µm
net519,290.82µm
net787,289.54µm
net552,289.28µm
net557,287.745µm
net1102,285.21µm
net663,284.405µm
net660,284.38µm
net1129,283.61µm
net610,283.57µm
net791,283.02µm
net536,282.3µm
net711,281.68µm
net598,281.33µm
b_h\[12\],280.905µm
net728,279.57µm
net745,279.54µm
net705,279.48µm
net963,279.34µm
net761,278.74µm
net816,277.04µm
net523,276.535µm
clknet_3_0__leaf_clk,276.29µm
b_h\[14\],276.065µm
a_h\[0\],273.51µm
net703,273.2µm
net513,273.02µm
_07234_,272.59µm
net1104,270.61µm
net652,270.58µm
net794,269.52µm
net776,269.45µm
net753,268.64µm
net695,268.32µm
net559,267.76µm
_06867_,263.92µm
net793,262.68µm
net669,262.51µm
net576,261.53µm
b_h\[13\],258.71µm
net626,258.25µm
net800,256.48µm
_02082_,256.36µm
net730,255.8µm
net537,255.68µm
net741,254.53µm
net774,253.45µm
net971,252.48µm
net770,251.02µm
net608,250.29µm
net1191,250.22µm
_00272_,250.16µm
net781,249.49µm
net518,248.945µm
net556,248.93µm
net696,248.54µm
net540,247.76µm
net806,247.53µm
net715,245.59µm
net767,245.07µm
net605,244.95µm
net637,244.92µm
net760,244.26µm
net541,243.445µm
net751,242.56µm
net810,241.08µm
net788,241.06µm
net570,240.54µm
_06985_,240.5µm
net554,238.02µm
net1052,238µm
net807,237.56µm
net562,237.475µm
net747,237.42µm
net630,236.835µm
net550,236.45µm
_02613_,235.88µm
net766,235.35µm
net733,234.045µm
net698,233.73µm
net779,233.355µm
net1011,232.99µm
net804,232.89µm
net754,232.8µm
_06681_,231.86µm
net778,231.83µm
net780,231.265µm
net1197,230.93µm
net828,230.295µm
net560,230.23µm
net813,229.98µm
net755,229.73µm
p_hl\[21\],229.08µm
net786,228.94µm
net721,228.15µm
net750,227.71µm
net558,227.47µm
net549,227.31µm
net546,226.83µm
net844,225.985µm
net756,224.98µm
net691,223.97µm
net959,223.765µm
net710,223.73µm
net796,223.505µm
_00266_,223.345µm
net742,222.94µm
net601,222.7µm
net633,222.43µm
net722,222.21µm
net782,222.06µm
net1235,220.025µm
net729,219.8µm
net631,219.58µm
net795,218.82µm
net1054,218.58µm
p_hl\[23\],218.36µm
net628,217.74µm
net644,217.52µm
net671,217.485µm
net659,217.06µm
net619,216.905µm
net582,215.88µm
net714,215.81µm
net658,215.71µm
net768,214.93µm
net611,214.06µm
b_l\[15\],214.02µm
net825,213.85µm
net621,213.53µm
net551,213.4µm
net1086,213.24µm
net614,213.08µm
net666,212.92µm
net801,212.575µm
net789,212.34µm
net672,212.225µm
b_h\[5\],212.14µm
net785,211.88µm
net1147,211.36µm
net555,210.76µm
net657,210.07µm
net571,209.95µm
net1301,209.65µm
net553,209.565µm
net970,208.735µm
net824,208.69µm
net771,208.66µm
net603,208.12µm
net642,208µm
net689,207.94µm
net957,207.8µm
net737,206.58µm
net600,205.44µm
_04133_,204.48µm
net802,203.935µm
net516,203.24µm
net974,203.185µm
net587,202.72µm
net534,202.57µm
net514,202.5µm
net664,201.985µm
net681,201.34µm
net792,201.22µm
b_l\[11\],200.9µm
net655,200.84µm
net580,200.52µm
_00240_,200.085µm
net654,199.4µm
net1108,199.285µm
net685,199.01µm
net772,198.33µm
_02362_,198.195µm
net545,198.04µm
net734,197.66µm
net784,197.43µm
net736,197.36µm
net823,197.1µm
net602,196.71µm
net575,196.615µm
net1184,195.1µm
net543,194.97µm
net1099,194.86µm
net708,194.64µm
net597,193.98µm
net713,193.98µm
net812,193.89µm
net822,193.255µm
net757,192.695µm
net609,192.18µm
net694,191.17µm
net1216,190.91µm
net740,190.875µm
net1024,190.86µm
net932,190.505µm
net1025,190.15µm
_00270_,189.6µm
a_l\[0\],189.41µm
net826,189.07µm
net719,187.72µm
net700,187.34µm
_00235_,186.56µm
_00273_,186.14µm
net548,185.56µm
net706,185.01µm
net1258,184.925µm
net732,184.79µm
net1302,183.87µm
net588,183.7µm
net1098,183.7µm
a_h\[8\],182.82µm
net590,182.82µm
net1303,182.615µm
net830,180.8µm
net538,180.565µm
net1084,179.93µm
net613,179.77µm
net1125,179.67µm
_00322_,179.525µm
net568,179.16µm
net1091,177.95µm
net707,176.475µm
net811,176.345µm
net693,175.815µm
net1344,175.745µm
_00238_,175.7µm
net639,174.96µm
_00320_,174.8µm
net624,174.66µm
net956,174.22µm
a_l\[15\],173.83µm
net1092,173.61µm
net679,173.275µm
net653,172.91µm
net670,172.63µm
net544,172.55µm
net1177,171.22µm
net805,170.87µm
net723,170.69µm
net827,170.53µm
net702,170.33µm
_00237_,170.085µm
b_h\[3\],170.07µm
net727,170.06µm
net820,169.86µm
net1042,169.39µm
net724,169.085µm
net612,169µm
net1262,168.67µm
net618,168.42µm
net645,167.255µm
net629,167.24µm
b_l\[8\],167.05µm
net1056,167.05µm
net577,166.24µm
net699,165.58µm
net528,165.4µm
b_l\[1\],164.95µm
_00324_,164.465µm
net717,164.24µm
net581,164.04µm
net1229,163.78µm
net656,162.93µm
net686,162.28µm
net542,162.17µm
net692,160.91µm
net1074,160.7µm
net1228,160.515µm
_07100_,160.26µm
net651,160.25µm
net1210,159.8µm
net687,159.75µm
net725,159.65µm
net712,159.56µm
net579,159.28µm
net620,159.275µm
net661,158.4µm
net604,158.03µm
net995,157.43µm
net566,157.22µm
_00143_,156.905µm
net646,156.63µm
b_h\[0\],156.58µm
net938,156.44µm
net1347,156.38µm
net585,155.8µm
_03605_,155.62µm
net572,155.49µm
_00319_,155.4µm
net591,154.74µm
net1028,154.65µm
net565,154.4µm
net1218,154.24µm
net1250,154.18µm
b_h\[10\],153.85µm
net731,153.545µm
net635,153.075µm
net1082,152.82µm
_00298_,152.56µm
net1112,151.9µm
net720,151.75µm
net1286,151.48µm
net1045,151.4µm
net1310,151.37µm
net952,151.26µm
net650,151.22µm
net673,150µm
net676,149.945µm
net643,149.28µm
net744,149.04µm
net1029,149.02µm
net752,148.9µm
net775,148.35µm
net1364,148.33µm
net819,147.93µm
net574,147.75µm
net617,147.66µm
net530,147.59µm
net677,147.555µm
net738,147.4µm
_00142_,147.28µm
p_ll_pipe\[20\],147.26µm
net648,147.14µm
net735,147.055µm
net1352,146.9µm
p_hl\[20\],146.79µm
net593,146.48µm
net1560,146.36µm
net596,146.215µm
_00140_,146.14µm
net983,145.88µm
net1182,145.83µm
net1338,145.07µm
